# Flame-test spectral data used by the viewer
# element: Rame (Cu)
# reagent: Solfato di rame(II) (CuSO4)
# range_nm: 380-770 air wavelengths
# NIST criterion: line_out=3, Only with observed wavelengths or intensities
# Atomic intensity: numeric part of NIST Rel. int.; source-dependent and qualitative.
# Molecular intensity: within-species source ratio; cross-species scale is an explicit estimate.
# Emissions without a positive numeric relative intensity are excluded.
# fields: species|wavelength_nm|wavelength_kind|rel_intensity_raw|rel_intensity_numeric|normalized_within_species|component_scale|plotted_relative|transition_type|source_ref|notes
Cu I|380.0502|observed|30h|30|0.012|0.15|0.0018|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|380.349|observed|5h|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|380.5232|observed|100h|100|0.04|0.15|0.006|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|381.195|observed|8h|8|0.0032|0.15|0.00048|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|381.3542|observed|10|10|0.004|0.15|0.0006|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|381.749|observed|5|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|382.0884|observed|60|60|0.024|0.15|0.0036|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|382.5047|observed|100h|100|0.04|0.15|0.006|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|383.7976|observed|5|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|384.451|observed|4h|4|0.0016|0.15|0.00024|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|386.0472|observed|600|600|0.24|0.15|0.036|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|386.0808|observed|5|5|0.002|0.15|0.0003|E1|L772c156|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|386.1747|observed|250|250|0.1|0.15|0.015|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|386.2781|observed|5h|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|388.1714|observed|5|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|388.592|observed|3h*|3|0.0012|0.15|0.00018|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|388.592|observed|3h*|3|0.0012|0.15|0.00018|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|388.84|observed|4h|4|0.0016|0.15|0.00024|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|389.922|observed|8h|8|0.0032|0.15|0.00048|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|391.2335|observed|1h|1|0.0004|0.15|6e-05|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|392.1267|observed|5|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|392.5274|observed|8|8|0.0032|0.15|0.00048|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|393.3027|observed|5|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|394.6938|observed|3|3|0.0012|0.15|0.00018|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|395.1616|observed|2|2|0.0008|0.15|0.00012|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|396.416|observed|5h|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|397.57|observed|5h|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|397.9954|observed|5|5|0.002|0.15|0.0003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|399.8018|observed|3|3|0.0012|0.15|0.00018|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|400.3028|observed|15|15|0.006|0.15|0.0009|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|401.0836|observed|8h|8|0.0032|0.15|0.00048|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|401.58|observed|10h|10|0.004|0.15|0.0006|E2|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|402.2629|observed|1250|1250|0.5|0.15|0.075|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|402.7026|observed|10|10|0.004|0.15|0.0006|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|405.0617|observed|20h|20|0.008|0.15|0.0012|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|405.238|observed|2|2|0.0008|0.15|0.00012|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|405.638|observed|35h|35|0.014|0.15|0.0021|M1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|405.678|observed|35h|35|0.014|0.15|0.0021|E2|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|406.2641|observed|2000|2000|0.8|0.15|0.12|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|406.3238|observed|650|650|0.26|0.15|0.039|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|406.953|observed|6h|6|0.0024|0.15|0.00036|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|407.3224|observed|20h|20|0.008|0.15|0.0012|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|407.5572|observed|50|50|0.02|0.15|0.003|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
Cu I|408.0534|observed|15h|15|0.006|0.15|0.0009|E1|L772|NIST ASD Rel. int. descriptor preserved in raw field
