# Flame-test spectral data used by the viewer
# element: Stronzio (Sr)
# reagent: Nitrato di stronzio (Sr(NO3)2)
# range_nm: 380-770 air wavelengths
# NIST criterion: line_out=3, Only with observed wavelengths or intensities
# Atomic intensity: numeric part of NIST Rel. int.; source-dependent and qualitative.
# Molecular intensity: within-species source ratio; cross-species scale is an explicit estimate.
# Emissions without a positive numeric relative intensity are excluded.
# fields: species|wavelength_nm|wavelength_kind|rel_intensity_raw|rel_intensity_numeric|normalized_within_species|component_scale|plotted_relative|transition_type|source_ref|notes
Sr I|380.7424|observed|200|200|0.00689655172|0.18|0.00124137931|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|381.202|observed|200|200|0.00689655172|0.18|0.00124137931|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|381.2044|observed|80|80|0.00275862069|0.18|0.000496551724|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|384.3325|observed|220|220|0.0075862069|0.18|0.00136551724|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|385.2144|observed|280|280|0.00965517241|0.18|0.00173793103|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|386.5451|observed|240|240|0.00827586207|0.18|0.00148965517|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|386.7067|observed|290|290|0.01|0.18|0.0018|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|391.9566|observed|250|250|0.00862068966|0.18|0.00155172414|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|392.4184|observed|280|280|0.00965517241|0.18|0.00173793103|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|392.5872|observed|280|280|0.00965517241|0.18|0.00173793103|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|392.9607|observed|280|280|0.00965517241|0.18|0.00173793103|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|393.3523|observed|140|140|0.00482758621|0.18|0.000868965517|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|393.5056|observed|290|290|0.01|0.18|0.0018|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|393.5099|observed|110|110|0.00379310345|0.18|0.000682758621|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|393.6037|observed|260|260|0.00896551724|0.18|0.0016137931|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|394.0711|observed|170|170|0.00586206897|0.18|0.00105517241|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|394.08|observed|500|500|0.0172413793|0.18|0.00310344828|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|394.3747|observed|230|230|0.00793103448|0.18|0.00142758621|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|394.9374|observed|150|150|0.00517241379|0.18|0.000931034483|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|395.0636|observed|210|210|0.00724137931|0.18|0.00130344828|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|395.067|observed|150|150|0.00517241379|0.18|0.000931034483|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|395.3095|observed|240|240|0.00827586207|0.18|0.00148965517|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|395.9961|observed|150|150|0.00517241379|0.18|0.000931034483|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|396.4581|observed|220|220|0.0075862069|0.18|0.00136551724|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|396.9261|observed|700|700|0.024137931|0.18|0.00434482759|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|397.0043|observed|500|500|0.0172413793|0.18|0.00310344828|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|397.3072|observed|190|190|0.00655172414|0.18|0.00117931034|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|397.8929|observed|260|260|0.00896551724|0.18|0.0016137931|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|398.9593|observed|260|260|0.00896551724|0.18|0.0016137931|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|399.7174|observed|300|300|0.0103448276|0.18|0.00186206897|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|401.0806|observed|350|350|0.0120689655|0.18|0.00217241379|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|402.0882|observed|360|360|0.0124137931|0.18|0.00223448276|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|403.0377|observed|1000|1000|0.0344827586|0.18|0.00620689655|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|403.2379|observed|500|500|0.0172413793|0.18|0.00310344828|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|403.3191|observed|160|160|0.00551724138|0.18|0.000993103448|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|403.8642|observed|370|370|0.0127586207|0.18|0.00229655172|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|405.2512|observed|420|420|0.0144827586|0.18|0.00260689655|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|406.0923|observed|390|390|0.0134482759|0.18|0.00242068966|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|407.0718|observed|440|440|0.0151724138|0.18|0.00273103448|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|407.0805|observed|360|360|0.0124137931|0.18|0.00223448276|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|407.6147|observed|410|410|0.014137931|0.18|0.00254482759|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|408.7344|observed|340r|340|0.0117241379|0.18|0.00211034483|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|408.7442|observed|290|290|0.01|0.18|0.0018|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|409.6063|observed|500|500|0.0172413793|0.18|0.00310344828|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|412.8213|observed|500|500|0.0172413793|0.18|0.00310344828|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|415.8526|observed|600|600|0.0206896552|0.18|0.00372413793|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|418.5424|observed|520|520|0.0179310345|0.18|0.00322758621|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|419.2777|observed|530|530|0.0182758621|0.18|0.00328965517|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|419.3148|observed|320|320|0.0110344828|0.18|0.0019862069|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|420.1534|observed|500|500|0.0172413793|0.18|0.00310344828|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|420.2209|observed|430|430|0.0148275862|0.18|0.00266896552|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|420.2522|observed|190|190|0.00655172414|0.18|0.00117931034|E1|L7362|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|420.378|observed|320|320|0.0110344828|0.18|0.0019862069|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
Sr I|421.2036|observed|700|700|0.024137931|0.18|0.00434482759|E1|L4447|NIST ASD Rel. int. descriptor preserved in raw field
