obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"550.4565"	"550.4527"	"a*"	""		"5.9334881"	"8.185267"	"5/2"	"5/2,7/2"		""	"L694"	
"550.4565"	"550.4622"	"a*"	""		"5.9335273"	"8.185267"	"3/2"	"5/2,7/2"		""	"L694"	
"556.3185"	"556.3146"	"a*"	""		"5.9334881"	"8.161540"	"5/2"	"5/2,7/2"		""	"L694"	
"556.3185"	"556.3244"	"a*"	""		"5.9335273"	"8.161540"	"3/2"	"5/2,7/2"		""	"L694"	
"563.3069"	"563.30717"	""	"2.25e+05"	C+	"4.9642890"	"7.1646833"	"1/2"	"3/2"		"T7192"	"u30"	
"564.4321"	"564.4278"	"a*"	""		"5.9334881"	"8.129514"	"5/2"	"5/2,7/2"		""	"L694"	
"564.4321"	"564.4379"	"a*"	""		"5.9335273"	"8.129514"	"3/2"	"5/2,7/2"		""	"L694"	
"576.1943"	"576.1901"	"a*"	"5.7e+05"	D+	"5.9334881"	"8.084685"	"5/2"	"7/2"		"u27"	"L694"	
"576.1943"	"576.1901"	"a*"	"3.9e+04"	D+	"5.9334881"	"8.084685"	"5/2"	"5/2"		"u27"	"L694"	
"576.1943"	"576.2006"	"a*"	"5.3e+05"	D+	"5.9335273"	"8.084685"	"3/2"	"5/2"		"u27"	"L694"	
"581.840"	"581.833"	"60"	""		"8.991694"	"11.12203"	"1/2"	"3/2"		""	"L6232"	
"582.107"	"582.116"	"100"	""		"8.993138"	"11.12244"	"3/2"	"5/2"		""	"L6232"	
"582.233"	"582.228"	"10"	""		"8.993138"	"11.12203"	"3/2"	"3/2"		""	"L6232"	
"594.263"	"594.2619"	"3a*"	"8.4e+05"	D+	"5.9334881"	"8.019266"	"5/2"	"7/2"		"u27"	"L694"	
"594.263"	"594.2619"	"3a*"	"5.6e+04"	D+	"5.9334881"	"8.019266"	"5/2"	"5/2"		"u27"	"L694"	
"594.272"	"594.2731"	"2a"	"7.9e+05"	D+	"5.9335273"	"8.019266"	"3/2"	"5/2"		"u27"	"L694"	
"624.457"	"624.4557"	"9a*"	"1.4e+06"	D	"5.9334881"	"7.918415"	"5/2"	"7/2"		"u27"	"L694"	
"624.457"	"624.4557"	"9a*"	"8.7e+04"	D	"5.9334881"	"7.918415"	"5/2"	"5/2"		"u27"	"L694"	
"624.466"	"624.4681"	"6a"	"1.2e+06"	D	"5.9335273"	"7.918415"	"3/2"	"5/2"		"u27"	"L694"	
