obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"386.18816"	"386.18816+"	"53"	""		"1.4128433"	"4.6223943"	"2"	"3"		""	"L9224"	
"388.13342"	"388.13344+"	"3"	""		"1.5207932"	"4.7142585"	"0"	"1"		""	"L9224"	
"388.93263"	"388.93263+"	"165"	"1.10e+06"	C+	"0.0000000"	"3.1869035"	"0"	"1"		"T5495"	"L9224"	
"389.05714"	"389.05714+"	"9"	""		"1.5207932"	"4.7066767"	"0"	"1"		""	"L9224"	
"389.26555"	"389.26555+"	"82"	""		"1.4128433"	"4.5970213"	"2"	"2"		""	"L9224"	
"389.43494"	"389.43496+"	"4"	""		"1.6756148"	"4.8584076"	"2"	"3"		""	"L9224"	
"389.47817"	"389.47825+"	"1"	""		"1.4128433"	"4.5952824"	"2"	"2"		""	"L9224"	
"390.59632"	"390.59630+"	"5"	""		"1.4128433"	"4.5861731"	"2"	"1"		""	"L9224"	
"390.99092"	"390.99092+"	"272"	"4.9e+07"	E	"1.1200690"	"4.2901961"	"1"	"2"		"T4515"	"L9224"	
"391.72520"	"391.72520+"	"4"	""		"1.1425765"	"4.3067614"	"2"	"3"		""	"L9224"	
"393.57167"	"393.57167+"	"423"	"4.7e+07"	E	"1.1425765"	"4.2919167"	"2"	"3"		"T4515"	"L9224"	
"393.78681"	"393.78682+"	"59"	"1.1e+07"	E	"1.1425765"	"4.2901961"	"2"	"2"		"T4515"	"L9224"	
"394.55928"	"394.55927+"	"21"	""		"1.5667416"	"4.7081990"	"1"	"2"		""	"L9224"	
"394.75057"	"394.75056+"	"9"	""		"1.5667416"	"4.7066767"	"1"	"1"		""	"L9224"	
"399.33989"	"399.33989+"	"530"	"5.5e+07"	E	"1.1898185"	"4.2936694"	"3"	"4"		"T4515"	"L9224"	
"399.56551"	"399.56552+"	"61"	"8.8e+06"	E	"1.1898185"	"4.2919167"	"3"	"3"		"T4515"	"L9224"	
"399.78728"	"399.78727+"	"1"	""		"1.1898185"	"4.2901961"	"3"	"2"		""	"L9224"	
