obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"387.048"	"387.04774"	"9"	"7.2e+06"	D	"2.5212633"	"5.7236864"	"1"	"2"		"T539n"	"L6097"	
"387.254"	"387.25403"	"11"	"5.4e+06"	D	"2.5229867"	"5.7237039"	"2"	"3"		"T539n,LS"	"L6097"	
"387.256"	"387.25615"	"11"	"9.8e+05"	D	"2.5229867"	"5.7236864"	"2"	"2"		"T539n,LS"	"L6097"	
"387.578"	"387.57764"	"12"	"7.9e+06"	D	"2.5256821"	"5.7237269"	"3"	"4"		"T539n,LS"	"L6097"	
"387.580"	"387.58043"	"12"	"8.9e+05"	D	"2.5256821"	"5.7237039"	"3"	"3"		"T539n,LS"	"L6097"	
"388.910"	""	"6"	""		""	""	""	""		""	"L6097"	
"392.348"	""	"6"	""		""	""	""	""		""	"L6097"	
"393.529"	""	"9"	""		""	""	""	""		""	"L6097"	
"394.604"	""	"6"	""		""	""	""	""		""	"L6097"	
"394.890"	"394.89004"	"15"	"3.34e+06"	C	"1.8793402"	"5.0181663"	"0"	"1"		"T539n,T654n"	"L6097"	
"395.705"	"395.70537"	"17"	"9.8e+06"	C	"1.8858075"	"5.0181663"	"1"	"1"		"T539n,T654n"	"L6097"	
"397.257"	""	"8"	""		""	""	""	""		""	"L6097"	
"397.371"	"397.37076"	"18"	"1.75e+07"	C	"1.8989349"	"5.0181663"	"2"	"1"		"T539n,T654n"	"L6097"	
"409.853"	"409.85282"	"15"	"1.3e+07"	D	"2.5256821"	"5.5499193"	"3"	"4"		"T539n"	"L6097"	
"409.857"	"409.85751"	"15"	"1.5e+06"	D	"2.5256821"	"5.5498847"	"3"	"3"		"T539n,LS"	"L6097"	
"422.673"	"422.67276"	"50"	"2.18e+08"	B+	"0.0000000"	"2.9325120"	"0"	"1"		"T876,T1110,T859"	"L6097"	
"424.046"	""	"15"	""		""	""	""	""		""	"L6097"	
"428.301"	"428.3011"	"24"	"4.34e+07"	C+	"1.8858075"	"4.7797840"	"1"	"2"		"T539n,T654n,LS"	"L6097"	
"428.936"	"428.9367"	"22"	"6.0e+07"	C+	"1.8793402"	"4.7690284"	"0"	"1"		"T539n,T654n,LS"	"L6097"	
"429.899"	"429.8988"	"22"	"4.66e+07"	C+	"1.8858075"	"4.7690284"	"1"	"1"		"T539n,T654n,LS"	"L6097"	
"430.253"	"430.2528"	"25"	"1.36e+08"	C+	"1.8989349"	"4.7797840"	"2"	"2"		"T539n,T654n,LS"	"L6097"	
"430.774"	"430.7744"	"23"	"1.99e+08"	C+	"1.8858075"	"4.7631683"	"1"	"0"		"T539n,T654n,LS"	"L6097"	
"431.865"	"431.8652"	"22"	"7.4e+07"	C+	"1.8989349"	"4.7690284"	"2"	"1"		"T539n,T654n,LS"	"L6097"	
"435.508"	"435.5079"	"20"	"1.9e+07"	D	"2.7090094"	"5.5550969"	"2"	"3"		"T539n"	"L6097"	
"442.544"	"442.5437"	"25"	"4.98e+07"	C	"1.8793402"	"4.6801799"	"0"	"1"		"T8043"	"L6097"	
"443.496"	"443.4957"	"26"	"6.7e+07"	C	"1.8858075"	"4.6806350"	"1"	"2"		"T8043"	"L6097"	
"443.569"	"443.5679"	"25"	"3.42e+07"	C	"1.8858075"	"4.6801799"	"1"	"1"		"T8043"	"L6097"	
"445.478"	"445.4779"	"30"	"8.7e+07"	C	"1.8989349"	"4.6813270"	"2"	"3"		"T8043"	"L6097"	
"445.589"	"445.5887"	"28"	"2.0e+07"	C	"1.8989349"	"4.6806350"	"2"	"2"		"T8043"	"L6097"	
"445.661"	"445.6616"	"20"	"2.45e+06"	C+	"1.8989349"	"4.6801799"	"2"	"1"		"T539n,T654n,LS"	"L6097"	
"452.694"	"452.6928"	"23"	"4.1e+07"	D	"2.7090094"	"5.4470569"	"2"	"1"		"T539n"	"L6097"	
"457.855"	"457.8551"	"22"	"1.76e+07"	C	"2.5212633"	"5.2284402"	"1"	"2"		"T539n,LS"	"L6097"	
"458.140"	"458.1395"	"23"	"2.09e+07"	C	"2.5229867"	"5.2284828"	"2"	"3"		"T539n,LS"	"L6097"	
"458.147"	"458.1467"	"23"	"3.5e+06"	D	"2.5229867"	"5.2284402"	"2"	"2"		"T539n,T866,LS"	"L6097"	
"458.587"	"458.5865"	"24"	"2.29e+07"	C	"2.5256821"	"5.2285409"	"3"	"4"		"T539n,LS"	"L6097"	
"458.596"	"458.5964"	"24"	"2.5e+06"	D	"2.5256821"	"5.2284828"	"3"	"3"		"T539n,T866,LS"	"L6097"	
"468.527"	"468.5268"	"20"	"8.0e+06"	D	"2.9325120"	"5.5780280"	"1"	"2"		"T866"	"L6097"	
"487.813"	"487.8126"	"25"	"1.88e+07"	C	"2.7090094"	"5.2499357"	"2"	"3"		"T1338"	"L6097"	
"504.162"	"504.1618"	"23"	"3.3e+07"	D	"2.7090094"	"5.1675384"	"2"	"1"		"T866"	"L6097"	
"518.885"	"518.8844"	"25"	"4.0e+07"	D	"2.9325120"	"5.3212844"	"1"	"2"		"T866"	"L6097"	
"526.171"	"526.1704"	"22"	"1.5e+07"	D	"2.5212633"	"4.8769584"	"1"	"1"		"T866LS"	"L6097"	
"526.224"	"526.2241"	"23"	"6.0e+07"	D	"2.5212633"	"4.8767178"	"1"	"0"		"T866LS"	"L6097"	
"526.424"	"526.4237"	"22"	"9.1e+06"	D	"2.5229867"	"4.8775483"	"2"	"2"		"T866LS"	"L6097"	
"526.556"	"526.5556"	"24"	"4.4e+07"	D	"2.5229867"	"4.8769584"	"2"	"1"		"T866LS"	"L6097"	
