obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"387.61486"	"387.6147"	"2100"	"3.9e+05"	B+	"0.00000000"	"3.197739"	"1/2"	"3/2"		"T7227"	"L5791"	
"388.8611413"	"388.8611413"	"600"	"9.0e+04"	C+	"0.00000000"	"3.187489360"	"1/2"	"1/2"		"T7227"	"L9729c91"	
"411.1164070"	"411.1164070"	""	""		"0.00000000"	"3.01494227654"	"1/2"	"1/2"	2P	""	"L12362c91"	
"441.73432"	"441.734318"	""	""		"0.00000000"	"2.80597149"	"1/2"	"5/2"	E2	""	"L4744c91"	
"442.57258"	"442.572582"	""	""		"0.00000000"	"2.80065687"	"1/2"	"3/2"	E2	""	"L4744c91"	
"455.52799"	"455.5280"	""	"1.836e+06"	AA	"0.00000000"	"2.721006"	"1/2"	"3/2"		"T7550"	"L3506c91"	
"459.31721"	"459.3172"	""	"7.94e+05"	A+	"0.00000000"	"2.6985592"	"1/2"	"1/2"		"T7550"	"L3506c91"	
"515.26813"	"515.268344"	""	""		"1.385928617528"	"3.79146490"	"1/2"	"3/2"		""	"L3506"	
"519.67343"	"519.673753"	""	""		"1.385928617528"	"3.77107279"	"1/2"	"3/2"		""	"L3506"	
"525.65633"	"525.656738"	""	""		"1.385928617528"	"3.74392558"	"1/2"	"3/2"		""	"L3506"	
"530.140"	"530.144916"	""	""		"1.385928617528"	"3.723963144"	"1/2"	"1/2"		""	"L3506"	
"530.37766"	"530.378353"	""	""		"1.454620692074"	"3.791626184"	"3/2"	"5/2"		""	"L3506"	
"534.09418"	"534.094508"	""	""		"1.385928617528"	"3.70667374"	"1/2"	"3/2"		""	"L3506"	
"535.03512"	"535.035446"	""	""		"1.454620692074"	"3.771284489"	"3/2"	"5/2"		""	"L3506"	
"540.66672"	"540.666919"	""	""		"1.385928617528"	"3.678462803"	"1/2"	"1/2"		""	"L3506"	
"541.36145"	"541.362102"	""	""		"1.454620692074"	"3.744210985"	"3/2"	"5/2"		""	"L3506"	
"541.428"	"541.429592"	""	""		"1.454620692074"	"3.74392558"	"3/2"	"3/2"		""	"L3506"	
"546.19231"	"546.192371"	""	""		"1.454620692074"	"3.723963144"	"3/2"	"1/2"		""	"L3506"	
