obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"380.0502"	"380.0484"	"30h"	""		"5.574734"	"8.836134"	"7/2"	"7/2"		""	"L772"	
"380.307"	"380.322"	"0h"	""		"6.8225730"	"10.081629"	"1/2"	"3/2"		""	"L772"	
"380.349"	"380.351"	"5h"	""		"5.681073"	"8.939879"	"1/2"	"3/2"		""	"L772"	
"380.5232"	"380.5229"	"100h"	""		"5.688311"	"8.945645"	"3/2"	"1/2"		""	"L772"	
"381.195"	"381.1976"	"8h"	""		"5.688311"	"8.939879"	"3/2"	"3/2"		""	"L772"	
"381.3542"	"381.3539"	"10"	""		"5.574734"	"8.824970"	"7/2"	"5/2"		""	"L772"	
"381.7490"	"381.7509"	"5"	""		"5.688311"	"8.935167"	"3/2"	"5/2"		""	"L772"	
"382.0884"	"382.0879"	"60"	""		"5.574734"	"8.818726"	"7/2"	"7/2"		""	"L772"	
"382.248"	"382.253"	"0h"	""		"6.1227049"	"9.365294"	"3/2"	"5/2"		""	"L772"	
"382.5047"	"382.50471"	"100h"	""		"3.7858977"	"7.0263553"	"1/2"	"1/2"		""	"L772"	
"383.574"	"383.566"	"0h"	""		"6.1227049"	"9.354195"	"3/2"	"5/2"		""	"L772"	
"383.670"	"383.662"	"0h*"	""		"6.1227049"	"9.353390"	"3/2"	"3/2"		""	"L772"	
"383.670"	"383.666"	"0h*"	""		"6.1227444"	"9.353390"	"1/2"	"3/2"		""	"L772"	
"383.7976"	"383.7983"	"5"	""		"5.688311"	"8.917846"	"3/2"	"3/2"		""	"L772"	
"384.451"	"384.4531"	"4h"	""		"5.688311"	"8.912346"	"3/2"	"1/2"		""	"L772"	
"384.8256"	"384.8275"	"0h"	""		"5.724709"	"8.945607"	"3/2"	"5/2"		""	"L772"	
"386.0472"	"386.0470"	"600"	""		"5.574734"	"8.785458"	"7/2"	"9/2"		""	"L772"	
"386.0808"	"386.0790"	"5"	""		"5.724709"	"8.935167"	"3/2"	"5/2"		""	"L772c156"	
"386.1747"	"386.17464"	"250"	""		"3.8166920"	"7.0263553"	"3/2"	"1/2"		""	"L772"	
"386.2781"	"386.281"	"5h"	""		"6.1227049"	"9.331485"	"3/2"	"3/2"		""	"L772"	
"388.1714"	"388.1733"	"5"	""		"5.724709"	"8.917846"	"3/2"	"3/2"		""	"L772"	
"388.592"	"388.5938"	"3h*"	""		"6.1227049"	"9.312387"	"3/2"	"1/2"		""	"L772"	
"388.592"	"388.599"	"3h*"	""		"6.1227444"	"9.312387"	"1/2"	"1/2"		""	"L772"	
"388.840"	"388.843"	"4h"	""		"5.724709"	"8.912346"	"3/2"	"1/2"		""	"L772"	
"389.922"	"389.9214"	"8h"	""		"4.837701"	"8.016523"	"5/2"	"5/2"		""	"L772"	
"391.2335"	"391.2351"	"1h"	""		"5.777459"	"8.945607"	"5/2"	"5/2"		""	"L772"	
"392.1267"	"392.1267"	"5"	""		"5.777459"	"8.938404"	"5/2"	"7/2"		""	"L772"	
"392.5274"	"392.5287"	"8"	""		"5.777459"	"8.935167"	"5/2"	"5/2"		""	"L772"	
"393.3027"	"393.3034"	"5"	""		"5.777459"	"8.928948"	"5/2"	"7/2"		""	"L772"	
"394.6938"	"394.6938"	"3"	""		"5.777459"	"8.917846"	"5/2"	"3/2"		""	"L772"	
"395.1616"	"395.1629"	"2"	""		"5.688311"	"8.824970"	"3/2"	"5/2"		""	"L772"	
"396.416"	"396.4162"	"5h"	""		"5.688311"	"8.815053"	"3/2"	"5/2"		""	"L772"	
"397.57"	"397.566"	"5h"	""		"4.973503"	"8.091200"	"3/2"	"3/2"		""	"L772"	
"397.9954"	"397.9956"	"5"	""		"5.688311"	"8.802645"	"3/2"	"3/2"		""	"L772"	
"399.3692"	"399.3689"	"0?"	""		"5.681073"	"8.784698"	"1/2"	"3/2"		""	"L772"	
"399.8018"	"399.8023"	"3"	""		"5.724709"	"8.824970"	"3/2"	"5/2"		""	"L772"	
