obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"380.16791"	"380.167922"	"10700"	"6.26e+06"	C+	"2.83159117"	"6.09196644"	"2"	"3"		"T5720"	"L11631"	
"380.18084"	"380.180862"	"3980"	""		"2.84504259"	"6.10530689"	"1"	"2"		""	"L11631"	
"380.19837"	"380.198342"	"1910"	"3.7e+06"	E	"3.33201954"	"6.59213395"	"5"	"6"		"T2578n"	"L11631"	
"380.22786"	"380.22778"	"1380"	"5.63e+06"	C+	"3.30092244"	"6.56078442"	"2"	"2"		"T5720"	"L11631"	
"380.40092"	"380.400898"	"1780"	"4.6e+06"	D	"3.33201954"	"6.59039805"	"5"	"4"		"T2491n"	"L11631"	
"380.46108"	"380.460834"	"417"	""		"3.27398440"	"6.53184961"	"1"	"2"		""	"L11631"	
"380.47911"	"380.47877"	"560"	""		"3.01762252"	"6.27533411"	"3"	"4"		""	"L11631"	
"380.5342"	"380.534158"	"74000bl*"	""		"3.41695281"	"6.67419029"	"2"	"3"		""	"L11631"	
"380.5342"	"380.53420"	"74000bl*"	"8.60e+07"	B+	"3.30140276"	"6.5586399"	"4"	"5"		"T5720"	"L11631"	
"380.5789"	"380.57881"	"229"	""		"4.20888328"	"7.4657386"	"2"	"1"		""	"L11631"	
"380.62164"	"380.62165"	"3390"	"2.5e+07"	D+	"3.41489715"	"6.67138589"	"1"	"1"		"T2491n"	"L11631"	
"380.66954"	"380.66953"	"32400"	"4.35e+07"	B+	"3.26711257"	"6.52319179"	"5"	"5"		"T5720"	"L11631"	
"380.67601"	"380.676019"	"437"	""		"2.58810592"	"5.84412959"	"3"	"2"		""	"L11631"	
"380.75366"	"380.753675"	"17000"	"9.37e+06"	C+	"2.22271209"	"5.47807170"	"1"	"2"		"T5720"	"L11631"	
"380.82807"	"380.82814"	"890"	"7.59e+05"	C+	"3.01725044"	"6.27197352"	"2"	"3"		"T5720"	"L11631"	
"380.87283"	"380.872830"	"9500"	"3.54e+06"	B	"2.55917148"	"5.81351269"	"4"	"4"		"T4293"	"L11631"	
"380.90396"	"380.90399"	"1020"	"1.7e+06"	E	"2.85805275"	"6.11212776"	"0"	"1"		"T2578n"	"L11631"	
"380.95641"	"380.956388"	"1620"	"1.43e+06"	C+	"2.99804479"	"6.25167222"	"3"	"4"		"T5720"	"L11631"	
"381.07554"	"381.07555"	"3020"	"1.94e+07"	C+	"3.30092244"	"6.55353246"	"2"	"1"		"T5720"	"L11631"	
"381.10348"	"381.103432"	"1700"	"2.06e+05"	C+	"2.72754450"	"5.97991659"	"4"	"5"		"T5720"	"L11631"	
"381.18042"	"381.180404"	"780"	""		"3.36825640"	"6.61997175"	"4"	"4"		""	"L11631"	
"381.18907"	"381.18907"	"11000"	"2.52e+06"	B+	"2.75857762"	"6.01021907"	"3"	"3"		"T5720"	"L11631"	
"381.29643"	"381.296424"	"398000"	"7.91e+06"	A	"0.95815732"	"4.20888328"	"3"	"2"		"T3548"	"L11631"	
"381.30578"	"381.305775"	"17000"	"5.52e+06"	B	"2.58810592"	"5.83875215"	"3"	"3"		"T5720"	"L11631"	
"381.36347"	"381.363450"	"3390"	"2.07e+06"	C+	"2.69240763"	"5.94256226"	"5"	"4"		"T5720"	"L11631"	
"381.38842"	"381.38834"	"2950"	"6.62e+06"	B	"3.63434980"	"6.88429230"	"6"	"5"		"T5720"	"L11631"	
"381.39331"	"381.39325"	"331"	"2.91e+05"	C	"2.43269470"	"5.68259542"	"5"	"4"		"T5720"	"L11631"	
"381.45229"	"381.452303"	"28200"	"6.24e+05"	A	"1.01105568"	"4.26045326"	"1"	"1"		"T4187"	"L11631"	
"381.47787"	"381.47788"	"2040"	""		"3.41489715"	"6.66407690"	"1"	"2"		""	"L11631"	
"381.58400"	"381.583970"	"760000"	"1.12e+08"	A	"1.48486439"	"4.73314079"	"4"	"3"		"T6573"	"L11631"	
"381.63400"	"381.634022"	"8300"	"4.16e+06"	D+	"2.19786640"	"5.44571679"	"2"	"3"		"T5720"	"L11631"	
"381.7451"	"381.74517"	"590"	""		"3.88350907"	"7.1304138"	"3"	"3"		""	"L11631"	
"381.76392"	"381.763905"	"3550"	"7.7e+06"	E	"3.33201954"	"6.57876498"	"5"	"5"		"T2578n"	"L11631"	
"381.8618"	"381.86149"	"479"	""		"3.41489715"	"6.66081289"	"1"	"2"		""	"L11631"	
"381.94930"	"381.949263"	"1100"	"4.9e+06"	E	"3.39650880"	"6.64167865"	"3"	"2"		"T2578n"	"L11631"	
"382.04249"	"382.042491"	"r"	"6.67e+07"	A	"0.85899575"	"4.10337372"	"5"	"4"		"T3548"	"L11631"	
"382.11776"	"382.11774"	"65000"	"5.54e+07"	B+	"3.26711257"	"6.51085164"	"5"	"6"		"T5720"	"L11631"	
"382.18342"	"382.183434"	"12300"	"7.30e+06"	B	"2.60850194"	"5.85168345"	"2"	"2"		"T5720"	"L11631"	
"382.40744"	"382.407361"	"3470"	""		"2.58810592"	"5.82938837"	"3"	"3"		""	"L11631"	
"382.43035"	"382.43036"	"22900"	""		"3.30140276"	"6.5424903"	"4"	"4"		""	"L11631"	
"382.44435"	"382.444329"	"1000000"	"2.83e+06"	A	"0.0000000"	"3.24096914"	"4"	"3"		"T3547"	"L11631"	
"382.45553"	"382.45557"	"9800"	""		"2.69240763"	"5.93328155"	"5"	"6"		""	"L11631"	
"382.54025"	"382.540229"	"1150"	"6.47e+05"	C	"2.27860466"	"5.51876133"	"2"	"2"		"T5720"	"L11631"	
"382.58809"	"382.588058"	"760000"	"5.97e+07"	A	"0.91460217"	"4.15435379"	"4"	"3"		"T3548"	"L11631"	
"382.6626"	"382.66294"	"380"	""		"2.45343044"	"5.6925481"	"4"	"3"		""	"L11631"	
"382.68412"	"382.684148"	"1780"	"2.29e+06"	C+	"2.72754450"	"5.96648265"	"4"	"3"		"T5720"	"L11631"	
"382.75713"	"382.757115"	"7600"	"1.56e+06"	B	"2.69240763"	"5.93072834"	"5"	"5"		"T5720"	"L11631"	
"382.78224"	"382.782220"	"590000"	"1.05e+08"	A	"1.55735733"	"4.79546566"	"3"	"2"		"T3831"	"L11631"	
"382.8150"	"382.814995"	"540bl"	""		"3.36825640"	"6.60608750"	"4"	"5"		""	"L11631"	
"382.85037"	"382.850415"	"1820"	"3.22e+05"	B	"2.75857762"	"5.99610917"	"3"	"4"		"T5720"	"L11631"	
"382.94516"	"382.94517"	"2340"	"1.32e+07"	C	"3.27398440"	"6.51071489"	"1"	"1"		"T5720"	"L11631"	
"382.9764"	"382.976109"	"660"	"7.5e+05"	E	"2.55917148"	"5.79564049"	"4"	"3"		"T2578n"	"L11631"	
"383.07572"	"383.075697"	"1740"	"1.04e+06"	C+	"2.60850194"	"5.84412959"	"2"	"2"		"T5720"	"L11631"	
"383.08617"	"383.086134"	"4370"	"1.07e+06"	B	"2.69240763"	"5.92794713"	"5"	"4"		"T5720"	"L11631"	
"383.33079"	"383.330771"	"14100"	"4.68e+06"	B	"2.55917148"	"5.79264615"	"4"	"4"		"T4293"	"L11631"	
"383.42222"	"383.422219"	"590000"	"4.52e+07"	A	"0.95815732"	"4.19086081"	"3"	"2"		"T3548"	"L11631"	
"383.44552"	"383.44518"	"1170"	""		"3.25148176"	"6.48399171"	"3"	"2"		""	"L11631"	
"383.63301"	"383.633025"	"11500"	"3.29e+07"	C+	"3.30092244"	"6.53184961"	"2"	"2"		"T5720"	"L11631"	
"383.69151"	"383.691494"	"398"	""		"2.75857762"	"5.98901244"	"3"	"2"		""	"L11631"	
"383.71347"	"383.713423"	"2750"	"1.08e+06"	C	"2.60850194"	"5.83875215"	"2"	"3"		"T5720"	"L11631"	
"383.92556"	"383.92558"	"47900"	"2.35e+07"	B	"3.04686890"	"6.27533411"	"4"	"4"		"T5720"	"L11631"	
"384.04372"	"384.043720"	"380000"	"4.70e+07"	A	"0.99011115"	"4.21758325"	"2"	"1"		"T3548"	"L11631"	
"384.10477"	"384.104750"	"457000"	"1.36e+08"	B+	"1.60789577"	"4.83485507"	"2"	"1"		"T5720"	"L11631"	
"384.28960"	"384.289641"	"1120"	"4.87e+05"	C	"2.58810592"	"5.81351269"	"3"	"4"		"T5720"	"L11631"	
"384.29885"	"384.298874"	"690"	"3.91e+05"	C	"2.58810592"	"5.81343520"	"3"	"2"		"T5720"	"L11631"	
"384.32565"	"384.32565"	"50000"	"3.70e+07"	B	"3.04686890"	"6.27197352"	"4"	"3"		"T5720"	"L11631"	
"384.51686"	"384.516842"	"7900"	"6.07e+06"	B+	"2.42419831"	"5.64769932"	"1"	"1"		"T5720"	"L11631"	
"384.52150"	"384.521383"	"468"	""		"3.39650880"	"6.61997175"	"3"	"4"		""	"L11631"	
"384.56948"	"384.569383"	"1260"	"5.89e+06"	B	"3.54652001"	"6.76958063"	"2"	"3"		"T5720"	"L11631"	
"384.59849"	"384.598440"	"980"	"4.5e+06"	D	"3.36825640"	"6.59107351"	"4"	"3"		"T2578n"	"L11631"	
"384.62832"	"384.62823"	"500"	""		"3.69459719"	"6.91716472"	"4"	"3"		""	"L11631"	
"384.64091"	"384.64092"	"6000"	"1.68e+07"	C+	"3.57321890"	"6.7956800"	"5"	"4"		"T5720"	"L11631"	
"384.6800"	"384.679066"	"24500bl*"	""		"3.36825640"	"6.59039805"	"4"	"4"		""	"L11631"	
"384.6800"	"384.68001"	"24500bl*"	"6.20e+07"	B	"3.25148176"	"6.47361547"	"3"	"3"		"T5720"	"L11631"	
"384.69333"	"384.69343"	"1200"	"3.44e+05"	C+	"2.43269470"	"5.65471608"	"5"	"6"		"T5720"	"L11631"	
"384.82885"	"384.828984"	"780"	"4.8e+05"	D	"2.60850194"	"5.82938837"	"2"	"3"		"T2491n"	"L11631"	
"384.99664"	"384.996631"	"204000"	"6.05e+07"	A	"1.01105568"	"4.23053960"	"1"	"0"		"T3548"	"L11631"	
"385.08176"	"385.081771"	"91000"	"1.66e+06"	A	"0.99011115"	"4.20888328"	"2"	"2"		"T3548"	"L11631"	
"385.25724"	"385.257240"	"12900"	"3.26e+06"	C	"2.17594512"	"5.39325126"	"3"	"4"		"T5720"	"L11631"	
"385.34565"	"385.34564"	"680"	"5.8e+05"	D	"2.94879294"	"6.16536100"	"5"	"4"		"T2491n"	"L11631"	
"385.43663"	"385.436600"	"2240"	"5.07e+06"	C+	"3.21118938"	"6.42699840"	"4"	"3"		"T5720"	"L11631"	
"385.53135"	"385.531464"	"720"	""		"2.72754450"	"5.94256226"	"4"	"4"		""	"L11631"	
"385.58451"	"385.584654"	"1860"	""		"3.24096914"	"6.45554341"	"3"	"2"		""	"L11631"	
"385.63713"	"385.637115"	"1100000"	"4.64e+06"	A	"0.05156912"	"3.26570610"	"3"	"2"		"T3547"	"L11631"	
"385.92123"	"385.921236"	"81000"	"7.25e+06"	B+	"2.40407444"	"5.61584517"	"6"	"5"		"T5720"	"L11631"	
"385.99111"	"385.991106"	"r"	"9.69e+06"	A	"0.0000000"	"3.21118938"	"4"	"4"		"T3547"	"L11631"	
"386.13400"	"386.134337"	"4680"	""		"2.69240763"	"5.90240588"	"5"	"5"		""	"L11631"	
