obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"404.4136"	"404.41422"	"18"	"1.15e+06"	A	"0.00000000"	"3.0649066"	"1/2"	"3/2"		"T5436n"	"L3287"	
"404.7208"	"404.72132"	"17"	"1.07e+06"	B+	"0.00000000"	"3.0625810"	"1/2"	"1/2"		"T5436n"	"L3287"	
"464.1876"	"464.18750"	"10"	"1.54e+02"	AAA	"0.00000000"	"2.6702462"	"1/2"	"3/2"	E2	"T5364"	"L6096"	
"464.2373"	"464.23725"	"11"	"1.54e+02"	AAA	"0.00000000"	"2.6699600"	"1/2"	"5/2"	E2	"T5364"	"L6096"	
"474.0914"	"474.092019"	"4"	"8.0e+04"	E	"1.60995784350"	"4.22441928"	"1/2"	"1/2"		"T1619extrap,LS"	"L6096"	
"474.4345"	"474.434024"	"6"	"9.8e+04"	C	"1.60995784350"	"4.22253462"	"1/2"	"3/2"		"T817LS"	"L6096"	
"475.3934"	"475.393077"	"5"	"1.6e+05"	D+	"1.6171130092"	"4.22441928"	"3/2"	"1/2"		"T1619extrap,LS"	"L6096"	
"475.7389"	"475.737719"	"7"	"1.2e+05"	C	"1.6171130092"	"4.22253048"	"3/2"	"5/2"		"T817LS"	"L6096"	
"478.6491"	"478.649091"	"5"	"1.03e+05"	C	"1.60995784350"	"4.19952815"	"1/2"	"1/2"		"T817,T204,LS"	"L6096"	
"479.1049"	"479.104132"	"7"	"1.3e+05"	C	"1.60995784350"	"4.19706867"	"1/2"	"3/2"		"T817n,T204n,LS"	"L6096"	
"479.9754"	"479.975316"	"6"	"2.07e+05"	C	"1.6171130092"	"4.19952815"	"3/2"	"1/2"		"T817,T204,LS"	"L6096"	
"480.4348"	"480.433950"	"8"	"1.6e+05"	C	"1.6171130092"	"4.19706295"	"3/2"	"5/2"		"T817n,T204n,LS"	"L6096"	
"484.9865"	"484.986450"	"7"	"1.871e+05"	A+	"1.60995784350"	"4.16569049"	"1/2"	"1/2"		"T9168"	"L6096"	
"485.6090"	"485.609209"	"8"	"2.10e+05"	A	"1.60995784350"	"4.16241300"	"1/2"	"3/2"		"T9168"	"L6096"	
"486.3483"	"486.348075"	"8"	"3.698e+05"	AA	"1.6171130092"	"4.16569049"	"3/2"	"1/2"		"T9168"	"L6096"	
"486.9757"	"486.975897"	"9"	"2.61e+05"	A	"1.6171130092"	"4.16240485"	"3/2"	"5/2"		"T9168"	"L6096"	
"494.2002"	"494.200871"	"8bl"	"2.69e+05"	AA	"1.60995784350"	"4.11803927"	"1/2"	"1/2"		"T9168"	"L1792"	
"495.0815"	"495.081801"	"9"	"2.69e+05"	B+	"1.60995784350"	"4.11357655"	"1/2"	"3/2"		"T9168"	"L6096"	
"495.61461"	"495.614802"	"9"	"5.322e+05"	AA	"1.6171130092"	"4.11803927"	"3/2"	"1/2"		"T9168"	"L1792"	
"496.5031"	"496.503213"	"10"	"3.36e+05"	A	"1.6171130092"	"4.11356434"	"3/2"	"5/2"		"T9168"	"L6096"	
"508.4226"	"508.423399"	"10"	"4.074e+05"	AA	"1.60995784350"	"4.04787964"	"1/2"	"1/2"		"T9168"	"L6096"	
"509.7171"	"509.717137"	"11"	"3.39e+05"	B+	"1.60995784350"	"4.04169191"	"1/2"	"3/2"		"T9168"	"L6096"	
"509.9200"	"509.920005"	"11"	"8.064e+05"	A+	"1.6171130092"	"4.04787964"	"3/2"	"1/2"		"T9168"	"L6096"	
"511.2249"	"511.225448"	"12"	"4.22e+05"	B+	"1.6171130092"	"4.04167262"	"3/2"	"5/2"		"T9168"	"L6096"	
"532.3276"	"532.32786"	"12"	"6.62e+05"	A+	"1.60995784350"	"3.9384048"	"1/2"	"1/2"		"T9168"	"L6096"	
"533.9688"	"533.96873"	"13"	"1.311e+06"	AA	"1.6171130092"	"3.9384048"	"3/2"	"1/2"		"T9168"	"L6096"	
"534.2970"	"534.29693"	"12"	"3.86e+05"	A	"1.60995784350"	"3.9298237"	"1/2"	"3/2"		"T9168"	"L6096"	
"535.9574"	"535.95761"	"14"	"4.86e+05"	A	"1.6171130092"	"3.9297908"	"3/2"	"5/2"		"T9168"	"L6096"	
"578.2384"	"578.23999"	"16"	"1.186e+06"	AA	"1.60995784350"	"3.7535285"	"1/2"	"1/2"		"T9168"	"L6096"	
"580.1752"	"580.17662"	"17"	"2.348e+06"	AA	"1.6171130092"	"3.7535285"	"3/2"	"1/2"		"T9168"	"L6096"	
