obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"391.530"	"391.5292"	"20"	"4.964e+06"	AA	"1.847818"	"5.013587"	"1/2"	"3/2"		"T6835LS"	"L7397"	
"391.535"	"391.5342"	"20*"	"5.959e+06"	AA	"1.847860"	"5.013589"	"3/2"	"5/2"		"T6835LS"	"L7397"	
"391.535"	"391.5344"	"20*"	"9.924e+05"	AA	"1.847860"	"5.013587"	"3/2"	"3/2"		"T6835LS"	"L7397"	
"398.548"	"398.5481"	"10"	"8.62e+05"	A	"1.847818"	"4.957835"	"1/2"	"1/2"		"T5118LS"	"L7397"	
"398.554"	"398.5535"	"10"	"1.73e+06"	A	"1.847860"	"4.957835"	"3/2"	"1/2"		"T5118LS"	"L7397"	
"413.256"	"413.2557"	"40"	"9.04e+06"	A	"1.847818"	"4.847154"	"1/2"	"3/2"		"T5118LS"	"L7397"	
"413.262"	"413.2613"	"40*"	"1.09e+07"	A	"1.847860"	"4.847155"	"3/2"	"5/2"		"T5118LS"	"L7397"	
"413.262"	"413.2615"	"40*"	"1.81e+06"	A	"1.847860"	"4.847154"	"3/2"	"3/2"		"T5118LS"	"L7397"	
"419.6"	""	""	""		""	""	""	""		""	"L1614"	
"427.307"	"427.306"	"20"	"1.58e+06"	A	"1.847818"	"4.748533"	"1/2"	"1/2"		"T5118LS"	"L7397"	
"427.313"	"427.312"	"20"	"3.17e+06"	A	"1.847860"	"4.748533"	"3/2"	"1/2"		"T5118LS"	"L7397"	
"460.283"	"460.282"	"13"	"1.935e+07"	AA	"1.847818"	"4.540720"	"1/2"	"3/2"		"T6620LS"	"L7397"	
"460.289"	"460.289"	"13*"	"2.322e+07"	AA	"1.847860"	"4.540723"	"3/2"	"5/2"		"T6620LS"	"L7397"	
"460.289"	"460.289"	"13*"	"3.871e+06"	AA	"1.847860"	"4.540720"	"3/2"	"3/2"		"T6620LS"	"L7397"	
"476.0"	""	""	""		""	""	""	""		""	"L1614"	
"497.166"	"497.166"	"8"	"3.460e+06"	AA	"1.847818"	"4.340942"	"1/2"	"1/2"		"T7401LS"	"L7397"	
"497.175"	"497.174"	"8"	"6.919e+06"	AA	"1.847860"	"4.340942"	"3/2"	"1/2"		"T7401LS"	"L7397"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"3/2"	"5/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"7/2"	"7/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"7/2"	"5/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"5/2"	"7/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"1/2"	"1/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"5/2"	"5/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"1/2"	"3/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"3/2"	"1/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"3/2"	"3/2"		""	"L1235,L3354"	
"527.1"	"527"	"*"	""		"62.773"	"65.126"	"5/2"	"3/2"		""	"L1235,L3354"	
"531.5"	""	""	""		""	""	""	""		""	"L1614"	
"539.5"	""	""	""		""	""	""	""		""	"L1614"	
"544.0"	""	""	""		""	""	""	""		""	"L1614"	
"610.354"	"610.353"	"320"	"5.7138e+07"	AAA	"1.847818"	"3.878608"	"1/2"	"3/2"		"T6505LS"	"L7397"	
"610.365"	"610.366"	"320"	"1.1427e+07"	AAA	"1.847860"	"3.878608"	"3/2"	"3/2"		"T6505LS"	"L7397"	
"670.776"	"670.776"	"3600"	"3.6891e+07"	AAA	"0.000000"	"1.847860"	"1/2"	"3/2"		"T6505LS"	"L7397"	
"670.791"	"670.791"	"3600"	"3.6890e+07"	AAA	"0.000000"	"1.847818"	"1/2"	"1/2"		"T6505LS"	"L7397"	
