obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"383.36"	"383.380"	""	""		"33.0956"	"36.3286"	"5/2"	"3/2"		""	"L10065"	
"384.80"	"384.802"	"5"	"2.8e+07"	D	"33.0956"	"36.3167"	"5/2"	"5/2"		"T5209"	"L6269"	
"385.23"	"385.22"	""	""		"33.1752"	"36.3928"	"1/2"	"3/2"		""	"L10065"	
"386.55"	"386.543"	"130"	"5.8e+07"	D	"33.0525"	"36.2591"	"7/2"	"7/2"		"T5209"	"L6269"	
"387.29"	"387.296"	"19"	"1.2e+07"	D	"33.0525"	"36.2529"	"7/2"	"5/2"		"T5209"	"L6269"	
"388.18"	"388.181"	"420"	"1.63e+08"	D	"33.0525"	"36.2456"	"7/2"	"9/2"		"T5209"	"L6269"	
"388.57"	"388.571"	"36"	"6.2e+07"	D	"33.1388"	"36.3286"	"3/2"	"3/2"		"T5209"	"L6269"	
"390.04"	"390.033"	"15"	"7.7e+07"	D	"33.1388"	"36.3167"	"3/2"	"5/2"		"T5209"	"L6269"	
"391.18"	"391.170"	""	""		"33.1752"	"36.3439"	"1/2"	"1/2"		""	"L10065"	
"391.79"	"391.803"	"160"	"6.6e+07"	D	"33.0956"	"36.2591"	"5/2"	"7/2"		"T5209"	"L6269"	
"392.56"	"392.577"	"85"	"4.5e+07"	D	"33.0956"	"36.2529"	"5/2"	"5/2"		"T5209"	"L6269"	
"393.06"	"393.059"	"15"	"2.5e+07"	D	"33.1752"	"36.3286"	"1/2"	"3/2"		"T5209"	"L6269"	
"394.26"	"394.283"	"32"	"2.1e+07"	D	"33.0956"	"36.2392"	"5/2"	"3/2"		"T5209"	"L6269"	
"398.03"	"398.023"	"14"	"5.e+06"	D	"33.1388"	"36.2529"	"3/2"	"5/2"		"T5209"	"L6269"	
"399.77"	"399.777"	"14"	"8.e+06"	D	"33.1388"	"36.2392"	"3/2"	"3/2"		"T5209"	"L6269"	
"400.88"	"400.892"	"27"	"1.5e+07"	D	"33.1388"	"36.2306"	"3/2"	"1/2"		"T5209"	"L6269"	
"405.66"	"405.670"	""	""		"33.1752"	"36.2306"	"1/2"	"1/2"		""	"L10065"	
"412.790"	"412.79045"	""	""		"2.102297177"	"[5.10501280]"	"1/2"	"3/2"		""	"L9493"	
"413.082"	"413.08376"	""	"8.62e+03"	B	"2.104429202"	"[5.10501280]"	"3/2"	"3/2"		"T7799"	"L9493"	
"413.082"	"413.08376"	""	"5.17e+04"	B	"2.104429202"	"[5.10501280]"	"3/2"	"5/2"		"T7799"	"L9493"	
"413.291"	"413.29739"	""	""		"2.102297177"	"[5.10132984]"	"1/2"	"3/2"		""	"L9493"	
"413.481"	"413.48503"	""	""		"2.102297177"	"[5.09996887]"	"1/2"	"1/2"		""	"L9493"	
"413.584"	"413.59142"	""	"1.01e+04"	B	"2.104429202"	"[5.10132984]"	"3/2"	"3/2"		"T7799"	"L9493"	
"413.584"	"413.59143"	""	"6.06e+04"	B	"2.104429202"	"[5.10132972]"	"3/2"	"5/2"		"T7799"	"L9493"	
"413.774"	"413.77933"	""	"3.40e+04"	B	"2.104429202"	"[5.09996887]"	"3/2"	"1/2"		"T7799"	"L9493"	
"413.890"	"413.89283"	""	""		"2.102297177"	"[5.09701544]"	"1/2"	"3/2"		""	"L9493"	
"414.108"	"414.11453"	""	""		"2.102297177"	"[5.09541220]"	"1/2"	"1/2"		""	"L9493"	
"414.184"	"414.18770"	""	"1.12e+04"	B	"2.104429202"	"[5.09701544]"	"3/2"	"3/2"		"T7799"	"L9493"	
"414.184"	"414.18770"	""	"6.72e+04"	B	"2.104429202"	"[5.09701544]"	"3/2"	"5/2"		"T7799"	"L9493"	
"414.403"	"414.40972"	""	"4.01e+04"	B	"2.104429202"	"[5.09541220]"	"3/2"	"1/2"		"T7799"	"L9493"	
"414.598"	"414.59869"	""	""		"2.102297177"	"[5.09191696]"	"1/2"	"3/2"		""	"L9493"	
"414.62"	"414.599"	""	""		"33.3390"	"36.3286"	"3/2"	"3/2"		""	"L10065"	
"414.861"	"414.86329"	""	""		"2.102297177"	"[5.09001021]"	"1/2"	"1/2"		""	"L9493"	
"414.893"	"414.89457"	""	"1.42e+04"	B	"2.104429202"	"[5.09191696]"	"3/2"	"3/2"		"T7799"	"L9493"	
"414.893"	"414.89459"	""	"8.52e+04"	B	"2.104429202"	"[5.09191684]"	"3/2"	"5/2"		"T7799"	"L9493"	
"415.175"	"415.15955"	""	"4.78e+04"	B	"2.104429202"	"[5.09001021]"	"3/2"	"1/2"		"T7799"	"L9493"	
"415.444"	"415.44429"	""	""		"2.102297177"	"[5.08583194]"	"1/2"	"3/2"		""	"L9493"	
"415.70"	"415.74"	""	""		"33.3625"	"36.3439"	"1/2"	"1/2"		""	"L10065"	
