obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"420.1792"	"420.18053"	"1000"	"1.77e+06"	B+	"0.0000000"	"2.9499053"	"1/2"	"3/2"		"T7227"	"L3287"	
"421.5524"	"421.5539"	"500"	"1.50e+06"	B	"0.0000000"	"2.9402953"	"1/2"	"1/2"		"T7227"	"L3287"	
"505.02"	"505.07"	""	"6.54e+06"		"16.64489"	"19.09902"	"3/2"	"3/2"		"T7580"	"L7245"	
"508.79874"	"508.79874"	"2"	""		"1.55959103"	"3.9957144"	"1/2"	"3/2"		""	"L7459"	
"513.24708"	"513.24709"	"2"	""		"1.58904906"	"4.0040587"	"3/2"	"1/2"		""	"L7459"	
"515.01339"	"515.01340"	"10"	""		"1.58904906"	"3.9957761"	"3/2"	"5/2"		""	"L7459"	
"516.50231"	"516.5012"	"1"	""		"0.0000000"	"2.3997946"	"1/2"	"3/2"	M1+E2	""	"L7459"	
"516.51416"	"516.5131"	"2"	""		"0.0000000"	"2.3997393"	"1/2"	"5/2"	E2	""	"L7459"	
"516.9651"	"516.9653"	"1"	""		"1.55959103"	"3.9572311"	"1/2"	"1/2"		""	"L3522"	
"519.52778"	"519.5274"	"15"	""		"1.55959103"	"3.9454072"	"1/2"	"3/2"		""	"L7459"	
"521.76"	"521.75"	""	"2.86e+06"		"16.64489"	"19.02054"	"3/2"	"5/2"		"T7580"	"L7245"	
"523.39679"	"523.3960"	"2"	""		"1.58904906"	"3.9572311"	"3/2"	"1/2"		""	"L7459"	
"526.00338"	"526.0031"	"20"	""		"1.58904906"	"3.9454934"	"3/2"	"5/2"		""	"L7459"	
"526.02285"	"526.0223"	"1"	""		"1.58904906"	"3.9454072"	"3/2"	"3/2"		""	"L7459"	
"532.23800"	"532.2375"	"3"	""		"1.55959103"	"3.8884335"	"1/2"	"1/2"		""	"L7459"	
"536.26013"	"536.2599"	"40"	""		"1.55959103"	"3.8709652"	"1/2"	"3/2"		""	"L7459"	
"539.05679"	"539.0562"	"4"	""		"1.58904906"	"3.8884335"	"3/2"	"1/2"		""	"L7459"	
"543.15321"	"543.1528"	"75"	""		"1.58904906"	"3.8710908"	"3/2"	"5/2"		""	"L7459"	
"543.18305"	"543.1827"	"3"	""		"1.58904906"	"3.8709652"	"3/2"	"3/2"		""	"L7459"	
"553.44"	"553.44"	""	"3.27e+06"		"16.64489"	"18.88453"	"3/2"	"1/2"		"T7580"	"L7245"	
"557.87880"	"557.8783"	"6"	""		"1.55959103"	"3.7813979"	"1/2"	"1/2"		""	"L7459"	
"564.77735"	"564.7779"	"40"	""		"1.55959103"	"3.7542555"	"1/2"	"3/2"		""	"L7459"	
"565.37500"	"565.3744"	"20"	""		"1.58904906"	"3.7813979"	"3/2"	"1/2"		""	"L7459"	
"572.41208"	"572.4125"	"60"	""		"1.58904906"	"3.7544424"	"3/2"	"5/2"		""	"L7459"	
"572.46143"	"572.4619"	"3"	""		"1.58904906"	"3.7542555"	"3/2"	"3/2"		""	"L7459"	
"585.99"	"586.01"	""	"9.71e+06"		"16.64489"	"18.76005"	"3/2"	"3/2"		"T7580"	"L7245"	
"607.07547"	"607.0751"	"75"	""		"1.55959103"	"3.6013462"	"1/2"	"1/2"		""	"L7459"	
"611.91"	"611.87"	""	"2.97e+07"		"16.64489"	"18.67066"	"3/2"	"5/2"		"T7580"	"L7245"	
"615.96264"	"615.9622"	"30c"	""		"1.58904906"	"3.6013462"	"3/2"	"1/2"		""	"L7459"	
"620.63092"	"620.6310"	"75c"	"2.948e+06"		"1.55959103"	"3.5567504"	"1/2"	"3/2"		"T7712"	"L7459"	
"629.83252"	"629.8326"	"120c"	"3.712e+06"		"1.58904906"	"3.5570310"	"3/2"	"5/2"		"T7712"	"L7459"	
"629.92245"	"629.9224"	"5"	"6.30e+05"		"1.58904906"	"3.5567504"	"3/2"	"3/2"		"T7712"	"L7459"	
"682.24"	"682.22"	""	"1.07e+05"		"16.64489"	"18.46174"	"3/2"	"3/2"		"T7580"	"L7245"	
"727.99968"	"727.9996"	"100l"	""		"1.55959103"	"3.2622024"	"1/2"	"1/2"		""	"L7459"	
"740.81731"	"740.8171"	"150"	""		"1.58904906"	"3.2622024"	"3/2"	"1/2"		""	"L7459"	
"761.89330"	"761.8933"	"200l"	""		"1.55959103"	"3.1864604"	"1/2"	"3/2"		""	"L7459"	
