obs_wl_air(nm)	ritz_wl_air(nm)	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	J_i	J_k	Type	tp_ref	line_ref	
"380.7424"	"380.7422"	"200"	""		"1.7983082"	"5.0537660"	"1"	"1"		""	"L7362"	
"381.2020"	"381.2020"	"200"	""		"2.2712989"	"5.522830"	"3"	"4"		""	"L4447"	
"381.2044"	"381.2047"	"80"	""		"2.2712989"	"5.522807"	"3"	"3"		""	"L4447"	
"384.3325"	"384.3325"	"220"	""		"2.2514340"	"5.476481"	"1"	"2"		""	"L4447"	
"385.2144"	"385.2145"	"280"	""		"2.2588413"	"5.476505"	"2"	"3"		""	"L4447"	
"386.5451"	"386.5457"	"240"	""		"1.8471842"	"5.0537660"	"2"	"1"		""	"L7362"	
"386.7067"	"386.7068"	"290"	""		"2.2712989"	"5.476546"	"3"	"4"		""	"L4447"	
"391.9566"	"391.9566"	"250"	""		"2.4982425"	"5.660559"	"2"	"3"		""	"L4447"	
"392.4184"	"392.4183"	"280"	""		"2.4982425"	"5.656839"	"2"	"3"		""	"L4447"	
"392.5872"	"392.5869"	"280"	""		"2.2514340"	"5.408674"	"1"	"2"		""	"L4447"	
"392.9607"	"392.9607"	"280"	""		"2.4982425"	"5.652479"	"2"	"3"		""	"L4447"	
"393.3523"	"393.3522"	"140"	""		"2.4982425"	"5.649340"	"2"	"1"		""	"L4447"	
"393.5056"	"393.5054"	"290"	""		"2.2588413"	"5.408712"	"2"	"3"		""	"L4447"	
"393.5099"	"393.5102"	"110"	""		"2.2588413"	"5.408674"	"2"	"2"		""	"L4447"	
"393.6037"	"393.6037"	"260"	""		"2.4982425"	"5.647326"	"2"	"3"		""	"L4447"	
"394.0711"	"394.0710"	"170"	""		"2.4982425"	"5.643592"	"2"	"1"		""	"L4447"	
"394.0800"	"394.0808"	"500"	""		"1.77514463"	"4.9204158"	"0"	"1"		""	"L7362"	
"394.3747"	"394.3746"	"230"	""		"2.4982425"	"5.641171"	"2"	"3"		""	"L4447"	
"394.9374"	"394.9369"	"150"	""		"2.4982425"	"5.636696"	"2"	"1"		""	"L4447"	
"395.0636"	"395.06361"	"210"	""		"2.2712989"	"5.4087461"	"3"	"4"		""	"L7362"	
"395.0670"	"395.0679"	"150"	""		"2.2712989"	"5.408712"	"3"	"3"		""	"L4447"	
"395.3095"	"395.3095"	"240"	""		"2.4982425"	"5.633738"	"2"	"3"		""	"L4447"	
"395.9961"	"395.9957"	"150"	""		"2.4982425"	"5.628305"	"2"	"1"		""	"L4447"	
"396.2611"	"396.26133"	""	""		"1.7983082"	"4.9262725"	"1"	"2"		""	"L7362"	
"396.4581"	"396.4581"	"220"	""		"2.4982425"	"5.624655"	"2"	"3"		""	"L4447"	
"396.9261"	"396.92631"	"700"	""		"1.7983082"	"4.9210323"	"1"	"2"		""	"L7362"	
"397.0043"	"397.0047"	"500"	""		"1.7983082"	"4.9204158"	"1"	"1"		""	"L7362"	
"397.3072"	"397.3075"	"190"	""		"2.4982425"	"5.617971"	"2"	"1"		""	"L4447"	
"397.8929"	"397.8929"	"260"	""		"2.4982425"	"5.613381"	"2"	"3"		""	"L4447"	
"398.9593"	"398.9590"	"260"	""		"2.4982425"	"5.605057"	"2"	"1"		""	"L4447"	
"399.7174"	"399.7174"	"300"	""		"2.4982425"	"5.599162"	"2"	"3"		""	"L4447"	
"401.0806"	"401.0805"	"350"	""		"2.4982425"	"5.588624"	"2"	"1"		""	"L4447"	
"402.0882"	"402.0883"	"360"	""		"2.4982425"	"5.580878"	"2"	"3"		""	"L4447"	
"403.0377"	"403.03772"	"1000"	""		"1.8471842"	"4.9225581"	"2"	"3"		""	"L7362"	
"403.2379"	"403.23780"	"500"	""		"1.8471842"	"4.9210323"	"2"	"2"		""	"L7362"	
"403.3191"	"403.3187"	"160"	""		"1.8471842"	"4.9204158"	"2"	"1"		""	"L7362"	
"403.8642"	"403.8640"	"370"	""		"2.4982425"	"5.567324"	"2"	"1"		""	"L4447"	
"405.04"	"405.04"	"B"	""		"2.6902652"	"5.75040"	"1"	"2"		""	"L9352"	
"405.2512"	"405.2512"	"420"	""		"2.4982425"	"5.556819"	"2"	"3"		""	"L4447"	
"406.0923"	"406.0924"	"390"	""		"2.2514340"	"5.303675"	"1"	"2"		""	"L4447"	
"407.0718"	"407.0717"	"440"	""		"2.2588413"	"5.3037399"	"2"	"3"		""	"L4447"	
"407.0805"	"407.0804"	"360"	""		"2.2588413"	"5.303675"	"2"	"2"		""	"L4447"	
"407.6147"	"407.6146"	"410"	""		"2.4982425"	"5.539085"	"2"	"1"		""	"L4447"	
"408.7344"	"408.73442"	"340r"	""		"2.2712989"	"5.3038110"	"3"	"4"		""	"L7362"	
"408.7442"	"408.7440"	"290"	""		"2.2712989"	"5.3037399"	"3"	"3"		""	"L4447"	
"409.6063"	"409.6064"	"500"	""		"2.4982425"	"5.524299"	"2"	"3"		""	"L4447"	
"412.8213"	"412.8211"	"500"	""		"2.4982425"	"5.500735"	"2"	"1"		""	"L4447"	
"415.8526"	"415.8526"	"600"	""		"2.4982425"	"5.478848"	"2"	"3"		""	"L4447"	
"418.5424"	"418.54204"	"520"	""		"2.6902652"	"5.65171840"	"1"	"2"		""	"L4447"	
"419.2777"	"419.27733"	"530"	""		"2.6902652"	"5.64652500"	"1"	"2"		""	"L4447"	
"419.3148"	"419.31414"	"320"	""		"2.6902652"	"5.64626549"	"1"	"0"		""	"L4447"	
"420.1534"	"420.15285"	"500"	""		"2.6902652"	"5.64036480"	"1"	"2"		""	"L4447"	
"420.2209"	"420.22039"	"430"	""		"2.6902652"	"5.63989067"	"1"	"0"		""	"L4447"	
"420.2522"	"420.2525"	"190"	""		"2.4982425"	"5.447643"	"2"	"1"		""	"L7362"	
"420.3780"	"420.378"	"320"	""		"2.6902652"	"5.638786"	"1"	"2"		""	"L4447"	
"421.2036"	"421.20328"	"700"	""		"2.6902652"	"5.63300777"	"1"	"2"		""	"L4447"	
"421.3230"	"421.32259"	"440"	""		"2.6902652"	"5.63217445"	"1"	"0"		""	"L4447"	
"421.4246"	"421.424"	"440"	""		"2.6902652"	"5.631466"	"1"	"2"		""	"L4447"	
"422.4698"	"422.46964"	"700"	""		"2.6902652"	"5.62418698"	"1"	"2"		""	"L4447"	
"422.6771"	"422.680"	"450"	""		"2.6902652"	"5.622727"	"1"	"2"		""	"L4447"	
"422.6826"	"422.68216"	"450"	""		"2.6902652"	"5.62271187"	"1"	"0"		""	"L4447"	
"424.0010"	"424.001"	"600"	""		"2.6902652"	"5.613589"	"1"	"2"		""	"L4447"	
"424.2399"	"424.23569"	"600"	""		"2.6902652"	"5.61197359"	"1"	"2"		""	"L4447"	
"424.3868"	"424.38679"	"500"	""		"2.6902652"	"5.61093335"	"1"	"0"		""	"L4447"	
"425.2939"	"425.2939"	"700"	"7.7e+06"	C	"2.4982425"	"5.412681"	"2"	"3"		"T5363"	"L4447"	
"425.8745"	"425.8739"	"240"	""		"2.4982425"	"5.408712"	"2"	"3"		""	"L4447"	
"425.9013"	"425.901"	"420"	""		"2.6902652"	"5.600551"	"1"	"2"		""	"L4447"	
"426.232"	"426.23151"	"700"	""		"2.6902652"	"5.59829304"	"1"	"2"		""	"L4447"	
"426.5660"	"426.56532"	"500"	""		"2.6902652"	"5.59601740"	"1"	"0"		""	"L4447"	
"428.8145"	"428.81403"	"600"	""		"2.6902652"	"5.58077983"	"1"	"2"		""	"L4447"	
"429.4148"	"429.41397"	"600"	""		"2.6902652"	"5.57674155"	"1"	"0"		""	"L4447"	
"430.8105"	"430.8100"	"700h"	""		"2.2514340"	"5.1285570"	"1"	"2"		""	"L7362"	
"431.3182"	"431.3157"	"110h"	"1.3e+07"	C'	"2.4982425"	"5.371992"	"2"	"1"		"T5960"	"L7362"	
"431.9053"	"431.9056"	"900h"	""		"2.2588413"	"5.128666"	"2"	"3"		""	"L7362"	
"431.9220"	"431.9220"	"340"	""		"2.2588413"	"5.1285570"	"2"	"2"		""	"L4447"	
"432.1953"	"432.19475"	"600"	""		"2.6902652"	"5.55817006"	"1"	"2"		""	"L4447"	
"432.6445"	"432.64449"	"300"	"3.1e+06"	A'	"1.77514463"	"4.6400683"	"0"	"1"		"T5178"	"L7362"	
"433.2439"	"433.24353"	"600"	""		"2.6902652"	"5.55122767"	"1"	"0"		""	"L4447"	
"433.7664"	"433.766"	"1100h"	""		"2.2712989"	"5.12881"	"3"	"4"		""	"L7362"	
"433.7891"	"433.7887"	"420"	""		"2.2712989"	"5.128666"	"3"	"3"		""	"L4447"	
