# Boro (B) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: fb2_usb2000_spettrogramma_20260921_163915
# selezione: media delle 12 righe piu intense in 510-555 nm (su 20)
# integrazione: 200 ms · rumore: 0.26 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato Na a 589 nm +-5 nm (c'era un picco da 4 conteggi)
wavelength_nm,intensity_counts
176.507,0.32867
176.894,0.01533
177.280,-0.05883
177.667,0.04783
178.054,0.29700
178.440,0.22450
178.827,-0.26050
179.213,0.01867
179.599,0.20783
179.986,-0.05883
180.372,-0.25633
180.758,0.02200
181.144,0.12617
181.530,-0.14217
181.917,-0.13467
182.303,-0.21467
182.689,0.31283
183.075,0.13283
183.461,-0.26383
183.847,0.06783
184.232,0.06033
184.618,-0.07717
185.004,-0.01300
185.390,0.36450
185.776,0.11450
186.161,0.19200
186.547,-0.05467
186.933,0.12783
187.318,-0.04383
187.704,-0.02467
188.089,0.30117
188.475,-0.05300
188.860,0.25200
189.245,0.25117
189.631,0.40533
190.016,0.39283
190.401,0.28033
190.787,0.26867
191.172,0.09783
191.557,-0.29300
191.942,0.19367
192.327,-0.24133
192.712,-0.53550
193.097,-0.03800
193.482,0.00783
193.867,-0.32633
194.252,-0.33800
194.637,-0.39217
195.022,-0.50467
195.406,-0.37217
195.791,-0.24383
196.176,0.17033
196.560,0.29450
196.945,0.22783
197.330,0.10617
197.714,-0.15633
198.099,-0.45050
198.483,-0.29133
198.868,-0.15967
199.252,-0.42883
199.636,-0.26300
200.020,0.19950
200.405,0.05533
200.789,0.04533
201.173,0.02617
201.557,-0.09800
201.941,-0.10633
202.325,-0.10717
202.709,-0.50967
203.093,-0.33467
203.477,-0.47633
203.861,-0.91300
204.245,-0.80717
204.629,-0.25883
205.013,0.09783
205.397,0.25783
205.780,0.73200
206.164,0.28533
206.548,0.04367
206.931,-0.01717
207.315,0.14867
207.698,0.03283
208.082,0.03700
208.465,-0.07550
208.848,-0.02133
209.232,0.03950
209.615,0.06033
209.998,0.32783
210.382,0.15700
210.765,0.16700
211.148,0.21200
211.531,0.24867
211.914,0.72683
212.297,0.42367
212.680,0.41867
213.063,-0.22883
213.446,-0.42133
213.829,0.19533
214.212,0.31950
214.595,0.42033
214.977,0.26783
215.360,0.20700
215.743,-0.25883
216.125,-0.28217
216.508,0.07117
216.891,0.09450
217.273,0.41617
217.656,0.27200
218.038,0.15950
218.420,-0.20717
218.803,0.01617
219.185,0.18117
219.567,1.12325
219.950,0.66617
220.332,0.85967
220.714,0.61067
221.096,0.51867
221.478,0.50200
221.860,0.20117
222.242,0.41450
222.624,0.04783
223.006,-0.03467
223.388,0.23033
223.770,-0.06633
224.152,0.23950
224.534,0.11450
224.915,0.14450
225.297,0.32033
225.679,0.26283
226.060,-0.23050
226.442,0.00867
226.823,-0.08217
227.205,0.44533
227.587,0.41117
227.968,0.39783
228.349,0.06367
228.731,0.14867
229.112,0.46283
229.493,-0.12217
229.874,0.05533
230.256,0.01283
230.637,-0.17133
231.018,0.35783
231.399,-0.11133
231.780,0.12783
232.161,0.26450
232.542,0.39450
232.923,0.19283
233.304,0.04283
233.685,0.06200
234.065,0.42033
234.446,0.12033
234.827,-0.01717
235.207,0.24950
235.588,0.15783
235.969,0.80783
236.349,0.63533
236.730,0.51617
237.110,0.32033
237.491,0.39117
237.871,0.21950
238.251,-0.10633
238.632,-0.22967
239.012,0.17700
239.392,-0.05633
239.772,0.01867
240.153,-0.02300
240.533,-0.18883
240.913,-0.20133
241.293,-0.40133
241.673,-0.09133
242.053,0.24700
242.433,-0.40217
242.813,-0.70050
243.192,-0.52717
243.572,0.13283
243.952,1.01475
244.332,0.96067
244.711,0.45283
245.091,0.37700
245.471,0.17867
245.850,-0.00217
246.230,0.03283
246.609,-0.32383
246.989,-0.24383
247.368,-0.19300
247.747,-0.41717
248.127,-0.31717
248.506,1.21567
248.885,1.22817
249.264,0.73700
249.644,0.05450
250.023,-0.59050
250.402,-0.46717
250.781,-0.41800
251.160,0.17367
251.539,0.03450
251.918,0.00867
252.297,0.09867
252.675,-0.03633
253.054,-0.11967
253.433,-0.00217
253.812,0.09033
254.190,-0.48050
254.569,-0.45883
254.948,-0.32217
255.326,-0.10550
255.705,0.08867
256.083,0.19533
256.462,0.35283
256.840,0.47783
257.219,0.56117
257.597,0.10617
257.975,0.14033
258.353,-0.60550
258.731,0.03867
259.110,0.08700
259.488,-0.34633
259.866,-0.20967
260.244,0.72842
260.622,0.64333
261.000,0.25283
261.378,0.17200
261.756,0.09450
262.134,0.57717
262.511,0.76417
262.889,-0.27300
263.267,-0.07025
263.645,0.86558
264.022,0.74667
264.400,0.28617
264.777,0.12367
265.155,0.13867
265.532,0.46867
265.910,0.48950
266.287,0.49533
266.665,0.53867
267.042,0.54117
267.419,0.36617
267.796,0.60700
268.174,0.44033
268.551,0.54117
268.928,0.45200
269.305,0.56117
269.682,0.42200
270.059,0.55200
270.436,0.39450
270.813,-0.18467
271.190,0.14867
271.567,0.03200
271.943,0.54533
272.320,0.07450
272.697,0.16200
273.074,0.61783
273.450,0.34450
273.827,-0.12133
274.204,0.58283
274.580,0.35367
274.957,0.31533
275.333,0.81033
275.709,0.36783
276.086,0.27033
276.462,0.02117
276.838,0.04033
277.214,0.18367
277.591,0.46617
277.967,0.50283
278.343,-0.11383
278.719,0.15700
279.095,0.05783
279.471,0.49117
279.847,0.31200
280.223,-0.13467
280.599,-0.00717
280.975,0.39950
281.351,-0.07967
281.726,0.02450
282.102,-0.08383
282.478,-0.04050
282.853,0.00950
283.229,-0.06217
283.604,0.37033
283.980,0.29450
284.355,0.34867
284.731,-0.46467
285.106,-0.00133
285.482,0.11117
285.857,-0.17800
286.232,0.03283
286.607,0.61617
286.983,0.58533
287.358,0.19533
287.733,0.39950
288.108,0.58700
288.483,0.21033
288.858,0.21533
289.233,0.59950
289.608,0.70617
289.983,0.78117
290.358,0.59950
290.732,0.39450
291.107,0.22867
291.482,-0.43217
291.856,0.72567
292.231,0.62850
292.606,0.41033
292.980,0.36867
293.355,0.18367
293.729,0.04033
294.104,0.38867
294.478,0.44450
294.852,-0.14633
295.227,0.12033
295.601,0.04033
295.975,0.00700
296.349,0.30700
296.723,0.38283
297.098,0.80467
297.472,0.91233
297.846,0.52200
298.219,1.03450
298.594,0.26450
298.967,0.18033
299.341,0.25783
299.715,0.20283
300.089,0.71117
300.463,0.64533
300.836,0.83200
301.210,0.26117
301.584,0.27867
301.957,-0.16550
302.331,-0.08883
302.704,0.34783
303.077,0.54033
303.451,0.27283
303.824,-0.04383
304.198,-0.01383
304.571,0.51867
304.944,0.40367
305.317,0.46950
305.691,0.63033
306.064,0.67867
306.437,1.15200
306.810,1.30367
307.183,1.16117
307.556,0.68200
307.929,0.27783
308.302,0.62867
