# Bario (Ba) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: ba3_usb2000_spettrogramma_20260921_183643,
# selezione: media delle 2 righe piu intense in 548-557 nm (su 7),
# integrazione: 600 ms · rumore: 1.80 conteggi,
# fondo strumentale sottratto; punte di 1-2 pixel rimosse,
# cancellato Na a 589 nm +-5 nm (c'era un picco da 238 conteggi),
# cancellato K a 768 nm +-7 nm (c'era un picco da 40 conteggi),
wavelength_nm,intensity_counts
176.507,1.147
176.894,-4.243
177.28,-8.383
177.667,-9.063
178.054,-10.273
178.44,-9.983
178.827,-11.783
179.213,-11.398
179.599,-7.553
179.986,-13.053
180.372,-13.798
180.758,-12.273
181.144,-11.003
181.53,-11.003
181.917,-10.958
182.303,-11.298
182.689,-9.528
183.075,-9.168
183.461,-4.958
183.847,-12.753
184.232,-11.648
184.618,-10.748
185.004,-10.818
185.39,-9.313
185.776,-8.848
186.161,-8.813
186.547,-9.203
186.933,-8.033
187.318,-9.148
187.704,-10.718
188.089,-8.538
188.475,-11.088
188.86,-10.033
189.245,-9.823
189.631,-9.603
190.016,-9.538
190.401,-6.288
190.787,-11.463
191.172,-11.648
191.557,-12.408
191.942,-11.648
192.327,-11.993
192.712,-11.783
193.097,-10.018
193.482,-9.283
193.867,-11.173
194.252,-11.018
194.637,-11.468
195.022,-11.653
195.406,-11.358
195.791,-11.683
196.176,-12.068
196.56,-11.608
196.945,-11.873
197.33,-11.563
197.714,-12.848
198.099,-13.118
198.483,-12.363
198.868,-11.943
199.252,-12.963
199.636,-12.783
200.02,-11.168
200.405,-10.353
200.789,-11.083
201.173,-10.788
201.557,-11.113
201.941,-11.998
202.325,-13.173
202.709,-14.408
203.093,-13.573
203.477,-14.573
203.861,-13.968
204.245,-14.438
204.629,-13.803
205.013,-12.333
205.397,-13.253
205.78,-12.698
206.164,-12.833
206.548,-12.883
206.931,-12.933
207.315,-12.173
207.698,-12.833
208.082,-13.303
208.465,-13.668
208.848,-13.753
209.232,-15.433
209.615,-12.148
209.998,-14.543
210.382,-15.208
210.765,-14.263
211.148,-13.618
211.531,-15.343
211.914,-12.613
212.297,-17.323
212.68,-16.433
213.063,-16.313
213.446,-16.643
213.829,-14.033
214.212,-13.843
214.595,-13.168
214.977,-12.953
215.36,-13.858
215.743,-14.533
216.125,-15.188
216.508,-14.763
216.891,-14.958
217.273,-14.033
217.656,-14.253
218.038,-13.723
218.42,-14.803
218.803,-15.553
219.185,-15.733
219.567,-15.368
219.95,-21.753
220.332,-16.428
220.714,-21.373
221.096,-18.663
221.478,-16.348
221.86,-14.953
222.242,-14.413
222.624,-15.763
223.006,-15.273
223.388,-15.823
223.77,-16.358
224.152,-15.233
224.534,-15.148
224.915,-15.323
225.297,-14.468
225.679,-15.713
226.06,-16.943
226.442,-16.428
226.823,-15.138
227.205,-15.183
227.587,-14.908
227.968,-14.533
228.349,-15.638
228.731,-16.243
229.112,-15.478
229.493,-17.393
229.874,-16.438
230.256,-14.963
230.637,-16.553
231.018,-16.553
231.399,-17.003
231.78,-15.123
232.161,-16.648
232.542,-16.623
232.923,-17.438
233.304,-16.523
233.685,-17.768
234.065,-16.003
234.446,-16.103
234.827,-16.618
235.207,-16.653
235.588,-16.233
235.969,-14.033
236.349,-15.733
236.73,-16.668
237.11,-16.883
237.491,-17.503
237.871,-18.073
238.251,-17.413
238.632,-17.818
239.012,-17.163
239.392,-17.348
239.772,-18.163
240.153,-17.763
240.533,-18.573
240.913,-18.223
241.293,-17.323
241.673,-18.463
242.053,-17.953
242.433,-18.163
242.813,-17.803
243.192,-16.998
243.572,-15.753
243.952,-11.683
244.332,-19.733
244.711,-19.073
245.091,-17.633
245.471,-16.453
245.85,-16.548
246.23,-17.318
246.609,-18.753
246.989,-18.863
247.368,-18.323
247.747,-17.518
248.127,-17.733
248.506,-14.858
248.885,-17.143
249.264,-18.168
249.644,-18.213
250.023,-18.218
250.402,-17.268
250.781,-17.643
251.16,-16.243
251.539,-16.338
251.918,-17.213
252.297,-15.893
252.675,-18.738
253.054,-19.403
253.433,-18.648
253.812,-16.858
254.19,-17.073
254.569,-18.168
254.948,-17.923
255.326,-17.623
255.705,-16.253
256.083,-18.053
256.462,-18.408
256.84,-17.043
257.219,-17.073
