# Calcio (Ca) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: nightca_usb2000_spettrogramma_20260921_231521
# selezione: media delle 2 righe piu intense in 615-630 nm (su 14)
# integrazione: 800 ms · rumore: 0.93 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato Na a 589 nm +-5 nm (c'era un picco da 1202 conteggi)
# cancellato K a 768 nm +-7 nm (c'era un picco da 47 conteggi)
wavelength_nm,intensity_counts
176.507,14.75900
176.894,14.75900
177.280,9.95900
177.667,9.31400
178.054,7.73400
178.440,7.01900
178.827,5.30400
179.213,5.46900
179.599,5.30400
179.986,3.68400
180.372,2.96900
180.758,4.84400
181.144,5.65900
181.530,6.02900
181.917,5.93900
182.303,5.14400
182.689,7.25400
183.075,6.88400
183.461,6.88400
183.847,3.91900
184.232,4.58900
184.618,4.90400
185.004,5.16900
185.390,6.93900
185.776,6.53900
186.161,7.41400
186.547,7.25400
186.933,8.11900
187.318,6.71900
187.704,4.96900
188.089,7.65900
188.475,4.63400
188.860,5.26400
189.245,5.18400
189.631,4.40900
190.016,4.44900
190.401,9.15900
190.787,3.99400
191.172,3.59400
191.557,3.61400
191.942,4.88900
192.327,4.27900
192.712,3.20400
193.097,5.53400
193.482,5.94400
193.867,4.59900
194.252,3.89400
194.637,4.01900
195.022,3.15400
195.406,3.02400
195.791,2.50400
196.176,2.13400
196.560,3.04900
196.945,2.46400
197.330,3.24400
197.714,2.67900
198.099,2.27900
198.483,2.98900
198.868,3.08900
199.252,1.20400
199.636,1.80900
200.020,3.28400
200.405,2.55900
200.789,1.57900
201.173,2.29400
201.557,1.92900
201.941,2.25400
202.325,1.77400
202.709,0.46400
203.093,1.41400
203.477,1.36400
203.861,0.56900
204.245,-0.20600
204.629,-0.01600
205.013,1.76900
205.397,1.47900
205.780,1.74400
206.164,1.14400
206.548,1.51400
206.931,1.13400
207.315,1.59900
207.698,1.60900
208.082,0.99400
208.465,0.75400
208.848,1.15400
209.232,-0.63600
209.615,3.39400
209.998,-0.45100
210.382,-1.78600
210.765,-0.87600
211.148,0.79400
211.531,-1.98600
211.914,-1.98600
212.297,-3.91100
212.680,-2.48100
213.063,-3.82100
213.446,-3.57100
213.829,-1.35600
214.212,-1.27600
214.595,-0.09100
214.977,-0.65100
215.360,-1.62600
215.743,-1.93100
216.125,-1.86600
216.508,-1.78600
216.891,-1.49100
217.273,-0.36600
217.656,-1.71600
218.038,-0.30600
218.420,-1.26600
218.803,-2.16600
219.185,-2.17100
219.567,11.14300
219.950,11.56700
220.332,12.69500
220.714,12.31400
221.096,-5.63600
221.478,-3.36100
221.860,-2.92600
222.242,-1.53100
222.624,-2.78600
223.006,-1.68600
223.388,-2.15600
223.770,-4.36600
224.152,-2.50600
224.534,-3.25600
224.915,-2.98600
225.297,-1.60600
225.679,-2.86100
226.060,-5.95100
226.442,-4.45100
226.823,-4.17600
227.205,-2.63100
227.587,-1.71600
227.968,-2.37100
228.349,-2.85600
228.731,-1.96100
229.112,-1.67600
229.493,-3.16100
229.874,-3.15600
230.256,-3.14600
230.637,-3.91600
231.018,-3.61600
231.399,-4.62600
231.780,-3.15100
232.161,-4.49600
232.542,-2.70100
232.923,-4.02600
233.304,-4.46600
233.685,-5.36600
234.065,-2.59600
234.446,-2.85600
234.827,-3.94100
235.207,-2.90600
235.588,-2.19600
235.969,-0.89600
236.349,-2.87100
236.730,-3.64600
237.110,-3.64600
237.491,-4.58100
237.871,-5.34100
238.251,-5.42100
238.632,-5.04600
239.012,-3.68600
239.392,-5.21100
239.772,-6.60600
240.153,-5.86100
240.533,-5.70100
240.913,-5.05100
241.293,-3.97600
241.673,-5.75100
242.053,-5.45600
242.433,-6.36100
242.813,-6.39600
243.192,-6.03100
243.572,-4.10600
243.952,-4.10600
244.332,-4.10600
244.711,-6.14100
245.091,-4.90600
245.471,-5.39600
245.850,-5.73600
246.230,-5.56600
246.609,-6.39100
246.989,-6.11100
247.368,-5.72600
247.747,-5.82100
248.127,-6.33100
248.506,-5.51600
248.885,-5.51600
249.264,-5.51600
249.644,-6.03600
250.023,-7.17100
250.402,-5.43100
250.781,-5.68600
251.160,-4.26600
251.539,-4.75100
251.918,-5.71100
252.297,-4.79100
252.675,-7.45100
253.054,-7.70600
253.433,-6.42100
253.812,-4.92600
254.190,-6.16100
254.569,-6.22100
254.948,-6.07600
255.326,-5.59100
255.705,-4.33100
256.083,-6.28100
256.462,-4.71600
256.840,-4.12600
257.219,-3.92600
257.597,-4.91100
257.975,-4.81100
258.353,-5.89100
258.731,-3.40100
259.110,-4.08100
259.488,-5.64600
259.866,-4.81100
260.244,-4.81100
260.622,-4.75600
261.000,-9.03600
261.378,-6.07600
261.756,-5.28600
262.134,-5.28600
262.511,11.18000
262.889,-7.88600
263.267,-6.92100
263.645,12.27500
264.022,-5.50100
264.400,-5.88600
264.777,-5.50100
265.155,-5.00100
265.532,-2.97100
265.910,-3.53100
266.287,-4.27100
266.665,-3.21600
267.042,-4.24100
267.419,-5.25600
267.796,-3.55100
268.174,-4.59100
268.551,-3.02100
268.928,-4.41100
269.305,-5.07100
269.682,-3.69100
270.059,-5.98100
270.436,-5.27600
270.813,-5.74100
271.190,-4.56100
271.567,-5.01100
271.943,-4.49600
272.320,-6.49600
272.697,-6.24600
273.074,-3.73100
273.450,-3.77600
273.827,-6.13100
274.204,-3.91600
274.580,-4.36600
274.957,-2.92600
275.333,-2.28100
275.709,-3.91600
276.086,-3.98100
276.462,-4.77600
276.838,-5.34100
277.214,-4.96100
277.591,-3.30600
277.967,-2.74100
278.343,-5.45100
278.719,-4.49100
279.095,-4.86600
279.471,-3.92100
279.847,-4.60600
280.223,-4.15100
280.599,-5.39100
280.975,-4.70600
281.351,-6.54100
281.726,-5.59100
282.102,-5.54100
282.478,-4.75100
282.853,-4.29100
283.229,-5.23600
283.604,-3.91600
283.980,-3.53600
284.355,-3.27100
284.731,-4.94600
285.106,-4.20100
285.482,-4.87600
285.857,-5.88100
286.232,-4.59100
286.607,-2.61600
286.983,-2.53100
287.358,-4.51600
287.733,-4.40600
288.108,-2.84100
288.483,-1.77100
288.858,-3.36600
289.233,-4.43100
289.608,-4.51100
289.983,-2.88600
290.358,-2.08100
290.732,-4.91100
291.107,-6.11600
291.482,-6.21600
291.856,-4.45600
292.231,-3.77100
292.606,-4.57100
292.980,-4.13600
293.355,-4.79600
293.729,-4.24600
294.104,-3.15600
294.478,-3.09100
294.852,-4.06600
295.227,-4.21600
295.601,-3.48600
