# Rame (Cu) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: fcu2_usb2000_spettrogramma_20260921_164106,
# selezione: media delle 8 righe piu intense in 500-560 nm (su 26),
# integrazione: 200 ms · rumore: 0.26 conteggi,
# fondo strumentale sottratto; punte di 1-2 pixel rimosse,
# cancellato Na a 589 nm +-5 nm (c'era un picco da 135 conteggi),
# cancellato K a 768 nm +-7 nm (c'era un picco da 9 conteggi),
wavelength_nm,intensity_counts
176.507,-0.3
176.894,-0.68
177.28,-0.75625
177.667,-0.6475
178.054,-0.15875
178.44,-0.1875
178.827,-0.835
179.213,-0.51
179.599,-0.33125
179.986,-0.49375
180.372,-0.4225
180.758,-0.1275
181.144,0.24125
181.53,-0.00625
181.917,-0.255
182.303,-0.76
182.689,-0.395
183.075,-0.63125
183.461,-1.065
183.847,-0.79625
184.232,-0.3975
184.618,-0.60375
185.004,-0.70625
185.39,-0.16
185.776,-0.27875
186.161,-0.20125
186.547,-0.275
186.933,-0.09125
187.318,-0.3475
187.704,-0.25625
188.089,-0.03375
188.475,-0.60875
188.86,-0.335
189.245,-0.4525
189.631,-0.42125
190.016,-0.6775
190.401,-0.49
190.787,-0.135
191.172,-0.1975
191.557,-0.8175
191.942,-0.6225
192.327,-0.43875
192.712,-0.485
193.097,-0.0375
193.482,-0.125
193.867,-0.27375
194.252,-0.20625
194.637,-0.06875
195.022,-0.13125
195.406,-0.46125
195.791,-0.9225
196.176,-0.70625
196.56,-0.58
196.945,-0.71125
197.33,-0.4975
197.714,-0.535
198.099,-0.5625
198.483,-0.3575
198.868,-0.38625
199.252,-1.06625
199.636,-0.8625
200.02,-0.30625
200.405,-0.34625
200.789,-0.5625
201.173,-0.49625
201.557,-0.02875
201.941,-0.17875
202.325,-0.25875
202.709,-0.5675
203.093,-0.155
203.477,-0.305
203.861,-0.40625
204.245,-0.79625
204.629,-0.65
205.013,-0.535
205.397,-0.15
205.78,0.00875
206.164,-0.31625
206.548,-0.22875
206.931,-0.08125
207.315,-0.18
207.698,-0.125
208.082,-0.14375
208.465,-0.2625
208.848,-0.375
209.232,-0.66625
209.615,-0.60375
209.998,-0.2925
210.382,-0.31125
210.765,-0.0825
211.148,0.09375
211.531,-0.055
211.914,0.78875
212.297,-0.0675
212.68,-0.25375
213.063,-0.685
213.446,-0.4825
213.829,0.05
214.212,-0.0675
214.595,-0.15625
214.977,-0.29625
215.36,-0.27375
215.743,-0.53125
216.125,-0.30875
216.508,-0.11375
216.891,-0.11125
217.273,0.1
217.656,-0.19625
218.038,0.135
218.42,-0.0775
218.803,-0.45625
219.185,-0.3725
219.567,0.38
219.95,-0.18875
220.332,0.07375
220.714,0.03125
221.096,0.2025
221.478,0.1525
221.86,0.2475
222.242,-0.01625
222.624,-0.5475
223.006,-0.2175
223.388,0.06625
223.77,-0.505
224.152,-0.56
224.534,-0.64125
224.915,-0.41125
225.297,-0.43125
225.679,-0.47
226.06,-0.89875
226.442,-0.445
226.823,-0.72125
227.205,-0.24375
227.587,-0.3425
227.968,-0.07875
228.349,-0.215
228.731,-0.73
229.112,-0.61375
229.493,-0.7675
229.874,-0.38375
230.256,-0.195
230.637,-0.5375
231.018,-0.20625
231.399,-0.515
231.78,-0.67375
232.161,-0.485
232.542,-0.0925
232.923,-0.7525
233.304,-0.59
233.685,-0.34375
234.065,-0.0375
234.446,-0.58125
234.827,-0.525
235.207,-0.31875
235.588,-0.09375
235.969,0.21875
236.349,0.1775
236.73,0.19375
237.11,-0.525
237.491,-0.1875
237.871,-0.3925
238.251,-0.56
238.632,-0.64375
239.012,-0.49125
239.392,-0.64125
239.772,-0.59125
240.153,-0.45375
240.533,-0.6175
240.913,-0.52375
241.293,-0.5425
241.673,-0.56375
242.053,-0.53375
242.433,-0.84125
242.813,-0.90625
243.192,-0.41
243.572,-0.49375
243.952,0.21125
244.332,0.3675
244.711,-0.08
245.091,-0.16
245.471,-0.88125
245.85,-1.2225
246.23,-0.88125
246.609,-0.98375
246.989,-0.85375
247.368,-0.955
247.747,-0.9875
248.127,-0.5625
248.506,0.4575
248.885,0.75
249.264,0.19375
249.644,-0.27625
250.023,-0.75
250.402,-0.51875
