# Ferro (Fe) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: ffe_usb2000_spettrogramma_20260921_162437
# selezione: riga piu intensa in 365-445 nm (7 righe)
# integrazione: 200 ms · rumore: 0.40 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
wavelength_nm,intensity_counts
176.507,0.38400
176.894,0.10400
177.280,0.88400
177.667,0.52400
178.054,1.24400
178.440,2.03400
178.827,0.82400
179.213,0.57400
179.599,0.08400
179.986,0.78400
180.372,1.07400
180.758,0.09400
181.144,0.44400
181.530,0.73400
181.917,0.75400
182.303,0.02400
182.689,0.11400
183.075,0.08400
183.461,-0.19600
183.847,0.39400
184.232,1.87400
184.618,1.72400
185.004,1.63400
185.390,1.52400
185.776,0.67400
186.161,0.91400
186.547,1.38400
186.933,1.92400
187.318,1.82400
187.704,1.83400
188.089,1.44400
188.475,0.59400
188.860,0.57400
189.245,-0.45600
189.631,-0.30600
190.016,-0.05600
190.401,-0.05600
190.787,-0.07600
191.172,0.57400
191.557,0.95400
191.942,0.57400
192.327,-0.03600
192.712,-0.32600
193.097,0.18400
193.482,0.48400
193.867,0.80400
194.252,-0.21600
194.637,-0.46600
195.022,-0.51600
195.406,-0.24600
195.791,-0.12600
196.176,0.83400
196.560,1.10400
196.945,0.10400
197.330,-0.32600
197.714,0.57400
198.099,1.73400
198.483,1.71400
198.868,1.10400
199.252,0.17400
199.636,0.78400
200.020,1.68400
200.405,0.79400
200.789,0.18400
201.173,0.39400
201.557,0.82400
201.941,-0.37600
202.325,-0.50600
202.709,0.35400
203.093,1.40400
203.477,0.95400
203.861,0.73400
204.245,1.39400
204.629,0.73400
205.013,0.27400
205.397,-0.21600
205.780,-0.32600
206.164,-0.47600
206.548,0.32400
206.931,-0.41600
207.315,-0.19600
207.698,0.48400
208.082,0.93400
208.465,0.88400
208.848,0.98400
209.232,1.72400
209.615,1.27400
209.998,1.10400
210.382,0.85400
210.765,0.41400
211.148,0.38400
211.531,0.05400
211.914,0.42400
212.297,1.35400
212.680,1.52400
213.063,0.82400
213.446,0.31400
213.829,0.53400
214.212,0.05400
214.595,0.18400
214.977,0.04400
215.360,0.90400
215.743,0.98400
216.125,0.09400
216.508,0.61400
216.891,-0.14600
217.273,-0.66600
217.656,-0.80600
218.038,-0.50600
218.420,-1.00600
218.803,-0.86600
219.185,-0.07600
219.567,1.35400
219.950,0.84400
220.332,-0.14600
220.714,1.15400
221.096,0.72400
221.478,0.57400
221.860,0.69400
222.242,0.57400
222.624,-0.62600
223.006,-0.49600
223.388,0.34400
223.770,-1.39600
224.152,0.34400
224.534,0.67400
224.915,1.55400
225.297,0.53400
225.679,0.06400
226.060,0.10400
226.442,-0.13600
226.823,0.69400
227.205,0.43400
227.587,0.45400
227.968,0.12400
228.349,-0.20600
228.731,1.15400
229.112,1.21400
229.493,0.35400
229.874,0.59400
230.256,0.76400
230.637,0.63400
231.018,0.08400
231.399,0.14400
231.780,-0.19600
232.161,0.37400
232.542,0.35400
232.923,-0.20600
233.304,-0.30600
233.685,-0.41600
234.065,-0.26600
234.446,-1.46600
234.827,-1.21600
235.207,-0.16600
235.588,0.08400
235.969,0.28400
236.349,-0.37600
236.730,0.28400
237.110,0.53400
237.491,0.38400
237.871,0.95400
238.251,-0.07600
238.632,-0.56600
239.012,0.27400
239.392,1.42400
239.772,1.27400
240.153,0.57400
240.533,-0.14600
240.913,-0.04600
241.293,0.25400
241.673,0.66400
242.053,0.14400
242.433,0.57400
242.813,0.28400
243.192,-0.42600
243.572,-0.46600
243.952,-0.11600
244.332,0.83400
244.711,1.00400
245.091,0.57400
245.471,0.03400
245.850,-0.92600
246.230,0.03400
246.609,-0.00600
246.989,-0.67600
247.368,-0.24600
247.747,0.08400
248.127,-0.11600
248.506,-0.19600
248.885,0.40400
249.264,0.73400
249.644,1.61400
250.023,1.18400
250.402,1.98400
250.781,1.50400
251.160,1.25400
251.539,1.39400
251.918,0.41400
252.297,-0.09600
252.675,0.09400
253.054,-0.35600
253.433,-0.57600
253.812,-0.29600
254.190,0.10400
254.569,0.98400
254.948,1.10400
255.326,-0.04600
255.705,0.14400
256.083,0.58400
256.462,0.70400
256.840,1.65400
257.219,1.70400
257.597,0.37400
257.975,1.25400
258.353,0.75400
258.731,1.79400
259.110,1.63400
259.488,1.28400
259.866,1.00400
260.244,-0.26600
260.622,-0.30600
261.000,0.10400
261.378,0.34400
261.756,0.35400
262.134,1.25400
262.511,1.63400
262.889,0.72400
263.267,-0.07600
263.645,0.31400
264.022,-0.53600
264.400,-0.29600
264.777,0.90400
265.155,1.14400
265.532,0.72400
265.910,0.57400
266.287,0.78400
266.665,1.94400
267.042,2.33400
267.419,1.43400
267.796,0.20400
268.174,-0.04600
268.551,0.28400
268.928,-0.12600
269.305,0.57400
269.682,0.29400
270.059,0.02400
270.436,-0.19600
270.813,-0.39600
271.190,0.75400
271.567,-0.04600
271.943,0.38400
272.320,0.63400
272.697,1.13400
273.074,2.04400
273.450,1.55400
273.827,0.68400
274.204,0.13400
274.580,0.08400
274.957,0.20400
275.333,0.57400
275.709,0.39400
276.086,-0.21600
276.462,-0.43600
276.838,-0.04600
277.214,0.41400
277.591,0.48400
277.967,0.10400
278.343,-0.89600
278.719,1.35400
279.095,1.08400
279.471,1.68400
279.847,1.53400
280.223,1.05400
280.599,-0.25600
280.975,-0.11600
281.351,-1.11600
281.726,-1.06600
282.102,-0.61600
282.478,-0.60600
282.853,-0.35600
283.229,-1.18600
283.604,0.38400
283.980,0.85400
284.355,1.03400
284.731,0.57400
285.106,0.60400
285.482,0.40400
285.857,0.44400
286.232,0.68400
286.607,0.83400
286.983,0.57400
287.358,-0.26600
287.733,-0.41600
288.108,-0.31600
288.483,-0.22600
288.858,-0.14600
289.233,-0.01600
289.608,-0.02600
289.983,-0.02600
290.358,0.13400
290.732,-0.64600
291.107,-0.16600
291.482,0.69400
291.856,1.82400
292.231,1.09400
292.606,0.07400
292.980,0.22400
293.355,0.43400
293.729,-0.13600
294.104,0.34400
294.478,0.20400
294.852,-0.21600
295.227,-1.31600
295.601,-0.19600
295.975,-0.04600
296.349,-0.59600
296.723,-0.91600
297.098,0.17400
297.472,0.68400
297.846,0.34400
298.219,0.39400
298.594,0.57400
298.967,0.29400
299.341,0.23400
299.715,0.55400
300.089,0.10400
300.463,-0.86600
300.836,0.20400
301.210,-0.04600
