# Potassio (K) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: fk_usb2000_spettrogramma_20260921_162948
# selezione: media delle 8 righe piu intense in 760-775 nm (su 25, 6 scartate per taglio nella finestra)
# integrazione: 200 ms · rumore: 0.22 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato Na a 589 nm +-5 nm (c'era un picco da 26 conteggi)
wavelength_nm,intensity_counts
176.507,0.55575
176.894,0.12575
177.280,-0.26925
177.667,-0.37925
178.054,-0.03425
178.440,0.03075
178.827,-0.20425
179.213,0.07075
179.599,0.25575
179.986,0.33075
180.372,-0.10425
180.758,0.04075
181.144,0.09075
181.530,0.05575
181.917,-0.09925
182.303,-0.25425
182.689,0.16075
183.075,-0.14425
183.461,-0.69925
183.847,-0.23425
184.232,-0.20425
184.618,-0.07925
185.004,-0.11925
185.390,0.17075
185.776,0.07075
186.161,0.41075
186.547,0.18075
186.933,0.47075
187.318,-0.10425
187.704,-0.34425
188.089,-0.00925
188.475,-0.48425
188.860,-0.07925
189.245,-0.13425
189.631,-0.03425
190.016,0.19075
190.401,0.24075
190.787,0.17075
191.172,0.39575
191.557,-0.22425
191.942,-0.15425
192.327,-0.41425
192.712,-0.55425
193.097,0.15575
193.482,0.45575
193.867,0.10075
194.252,0.10575
194.637,0.10575
195.022,0.18075
195.406,0.07575
195.791,-0.10425
196.176,0.00575
196.560,-0.09925
196.945,-0.22425
197.330,-0.30425
197.714,-0.60425
198.099,-0.44425
198.483,-0.01425
198.868,-0.02425
199.252,-0.40425
199.636,0.05575
200.020,0.50575
200.405,0.14075
200.789,-0.31925
201.173,-0.10925
201.557,-0.10425
201.941,-0.12925
202.325,0.01575
202.709,-0.22425
203.093,-0.02425
203.477,-0.04925
203.861,-0.24425
204.245,-0.58425
204.629,-0.31925
205.013,0.29575
205.397,0.48075
205.780,0.59575
206.164,0.19575
206.548,-0.02925
206.931,0.10575
207.315,0.25075
207.698,-0.19425
208.082,-0.14425
208.465,-0.06925
208.848,-0.21925
209.232,-0.15425
209.615,0.19575
209.998,0.32575
210.382,0.07575
210.765,0.08575
