# Litio (Li) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: nightli_usb2000_spettrogramma_20260921_231929
# selezione: media delle 2 righe piu intense in 665-675 nm (su 14, 4 scartate per taglio nella finestra)
# integrazione: 800 ms · rumore: 0.89 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato Na a 589 nm +-5 nm (c'era un picco da 8 conteggi)
# cancellato K a 768 nm +-7 nm (c'era un picco da 10 conteggi)
wavelength_nm,intensity_counts
176.507,14.79300
176.894,14.79300
177.280,11.03800
177.667,9.84800
178.054,8.47800
178.440,7.88800
178.827,5.67300
179.213,5.17300
179.599,5.17300
179.986,3.76300
180.372,4.04800
180.758,5.25300
181.144,5.40300
181.530,5.56300
181.917,6.14300
182.303,5.84800
182.689,8.33300
183.075,8.08800
183.461,8.08800
183.847,4.70300
184.232,5.74800
184.618,5.77300
185.004,5.41300
185.390,7.22300
185.776,6.82300
186.161,7.53300
186.547,7.28800
186.933,9.07300
187.318,6.92300
187.704,4.58800
188.089,7.65300
188.475,5.37800
188.860,5.42300
189.245,5.30300
189.631,5.15300
190.016,5.02800
190.401,4.98800
190.787,4.19800
191.172,3.92300
191.557,2.94300
191.942,4.42300
192.327,4.85800
192.712,3.94800
193.097,5.98800
193.482,6.31300
193.867,4.34300
194.252,3.76300
194.637,3.76300
195.022,3.43800
195.406,3.51800
195.791,3.24800
196.176,2.33800
196.560,2.91800
196.945,2.54300
197.330,2.32300
197.714,1.42300
198.099,1.56300
198.483,2.35800
198.868,2.04300
199.252,0.69800
199.636,1.51300
200.020,2.86300
200.405,2.80300
200.789,2.23800
201.173,2.57800
201.557,2.67300
201.941,2.99800
202.325,1.47800
202.709,0.16800
203.093,1.11800
203.477,1.19300
203.861,1.81300
204.245,0.32800
204.629,0.06300
205.013,1.47300
205.397,0.38800
205.780,1.57300
206.164,0.97300
206.548,0.54800
206.931,0.71300
207.315,0.96800
207.698,0.81300
208.082,-0.26200
208.465,-0.08700
208.848,1.56300
209.232,-0.72700
209.615,2.22300
209.998,0.04300
210.382,-1.20700
210.765,-0.34200
211.148,0.53800
211.531,-1.78200
211.914,-1.78200
212.297,-4.83200
212.680,-2.90200
213.063,-3.45200
213.446,-2.61700
213.829,-0.36200
214.212,-0.65700
214.595,-0.51200
214.977,-0.69700
215.360,-1.13200
215.743,-3.06200
216.125,-1.87200
216.508,-0.79200
216.891,-0.45700
217.273,0.08800
217.656,-1.34700
218.038,0.85300
218.420,-0.27200
218.803,-0.83700
219.185,-2.30200
219.567,13.71400
219.950,12.31200
220.332,12.10500
220.714,11.81500
221.096,-4.35200
221.478,-2.45200
221.860,-1.84700
222.242,-1.20200
222.624,-2.87700
223.006,-2.60700
223.388,-2.24700
223.770,-3.95700
224.152,-2.17700
224.534,-2.30200
224.915,-2.40700
225.297,-2.98700
225.679,-3.11700
226.060,-4.45700
226.442,-2.79200
226.823,-2.59700
227.205,-2.13700
227.587,-2.68200
227.968,-2.37700
228.349,-2.44700
228.731,-2.50700
229.112,-1.89200
229.493,-3.20700
229.874,-3.12200
230.256,-2.06700
230.637,-3.58700
231.018,-3.78700
231.399,-4.04700
231.780,-3.28200
232.161,-4.25200
232.542,-2.20700
232.923,-4.44700
233.304,-4.34700
233.685,-5.03700
234.065,-2.93700
234.446,-3.48700
234.827,-3.86200
235.207,-2.66200
235.588,-2.28700
235.969,-1.48700
236.349,-2.50200
236.730,-3.36200
237.110,-4.48700
237.491,-5.46200
237.871,-6.05700
238.251,-5.80200
238.632,-4.88700
239.012,-4.02700
239.392,-5.05200
239.772,-5.90200
240.153,-4.95200
240.533,-5.58200
240.913,-5.18200
241.293,-4.60700
241.673,-5.46700
242.053,-4.67200
242.433,-5.57700
242.813,-5.36200
243.192,-5.82700
243.572,-4.11200
243.952,-4.11200
244.332,-4.11200
244.711,-6.35700
245.091,-5.45200
245.471,-4.48700
245.850,-4.20200
246.230,-3.73700
246.609,-4.39700
246.989,-5.70200
247.368,-6.23200
247.747,-5.91200
248.127,-6.08700
248.506,-5.23700
248.885,-5.43700
249.264,-5.43700
249.644,-6.04200
250.023,-6.13700
250.402,-4.31200
250.781,-4.73200
251.160,-3.85700
251.539,-5.04700
251.918,-5.71700
252.297,-4.13200
252.675,-6.49700
253.054,-7.54700
253.433,-6.30200
253.812,-5.05700
254.190,-6.33200
254.569,-6.43700
254.948,-5.83200
255.326,-5.18200
255.705,-2.79700
256.083,-3.78700
256.462,-4.05700
256.840,-3.00700
257.219,-3.30700
257.597,-4.87700
257.975,-4.23200
258.353,-5.35700
258.731,-4.07200
259.110,-4.08700
259.488,-5.48700
259.866,-4.98200
260.244,-4.92200
260.622,3.48550
261.000,-6.70700
261.378,-5.87200
261.756,-5.33200
262.134,-5.10200
262.511,11.03600
262.889,-7.60200
263.267,-6.30200
263.645,12.40900
264.022,-5.28200
264.400,-5.30700
264.777,-5.38200
265.155,-3.04700
265.532,-2.97700
265.910,-3.70200
266.287,-4.48700
266.665,-3.09700
267.042,-5.28700
267.419,-3.88700
267.796,-3.43200
268.174,-3.93200
268.551,-3.11200
268.928,-3.25200
269.305,-3.57700
269.682,-2.69700
270.059,-4.77700
270.436,-4.15700
270.813,-6.20700
271.190,-4.48200
271.567,-3.93200
271.943,-3.96200
272.320,-5.83700
272.697,-5.21200
273.074,-2.82200
273.450,-4.15700
273.827,-5.38700
274.204,-2.96200
274.580,-4.28700
274.957,-3.30700
275.333,-1.70200
275.709,-3.79700
276.086,-4.36200
276.462,-5.86700
276.838,-5.93200
277.214,-4.46700
277.591,-2.18700
277.967,-2.58200
278.343,-4.95700
278.719,-4.20700
