# Magnesio (Mg) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: nightmg_usb2000_spettrogramma_20260921_233744
# selezione: riga piu intensa in 492-508 nm (1 righe)
# integrazione: 30 ms · rumore: 0.15 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato Na a 589 nm +-5 nm (c'era un picco da 44 conteggi)
# cancellato K a 768 nm +-7 nm (c'era un picco da 8 conteggi)
wavelength_nm,intensity_counts
176.507,-32.55300
176.894,-32.13825
177.280,-31.72350
177.667,-31.08000
178.054,-30.46450
178.440,-30.06350
178.827,-30.02000
179.213,-29.85250
179.599,-29.68100
179.986,-29.59100
180.372,-29.63250
180.758,-29.69450
181.144,-29.78450
181.530,-29.86350
181.917,-29.95300
182.303,-30.18000
182.689,-30.09650
183.075,-30.14350
183.461,-30.43300
183.847,-30.33450
184.232,-30.26000
184.618,-30.07250
185.004,-29.91350
185.390,-29.77000
185.776,-29.82250
186.161,-29.67650
186.547,-29.70350
186.933,-29.81000
187.318,-29.74000
187.704,-29.68350
188.089,-29.57450
188.475,-29.73450
188.860,-29.57750
189.245,-29.58450
189.631,-29.74450
190.016,-29.67450
190.401,-29.56450
190.787,-29.43250
191.172,-29.37500
191.557,-29.36300
191.942,-29.28000
192.327,-29.13650
192.712,-29.21250
193.097,-29.20350
193.482,-29.18350
193.867,-29.08300
194.252,-28.93350
194.637,-28.96350
195.022,-28.94350
195.406,-29.00300
195.791,-29.07000
196.176,-28.96350
196.560,-28.91300
196.945,-28.86300
197.330,-28.81250
197.714,-28.78250
198.099,-28.76100
198.483,-28.78650
198.868,-28.85550
199.252,-28.95000
199.636,-28.82350
200.020,-28.66350
200.405,-28.64450
200.789,-28.74100
201.173,-28.73450
201.557,-28.72000
201.941,-28.64000
202.325,-28.48450
202.709,-28.42800
203.093,-28.34300
203.477,-28.41300
203.861,-28.34100
204.245,-28.16450
204.629,-28.08350
205.013,-28.18250
205.397,-28.26350
205.780,-28.17250
206.164,-28.26000
206.548,-28.25250
206.931,-28.27100
207.315,-28.20300
207.698,-28.08350
208.082,-27.97350
208.465,-28.08100
208.848,-28.15100
209.232,-28.12250
209.615,-28.00000
209.998,-27.79800
210.382,-27.78050
210.765,-27.82650
211.148,-27.85100
211.531,-27.78300
211.914,-27.80000
212.297,-27.67300
212.680,-27.72250
213.063,-27.68000
213.446,-27.79650
213.829,-27.56350
214.212,-27.51300
214.595,-27.53350
214.977,-27.57450
215.360,-27.56300
215.743,-27.53100
216.125,-27.53450
216.508,-27.52650
216.891,-27.63050
217.273,-27.63350
217.656,-27.47450
218.038,-27.37450
218.420,-27.09450
218.803,-27.09350
219.185,-27.15000
219.567,-27.38050
219.950,-27.24450
220.332,-27.32550
220.714,-27.16300
221.096,-27.18250
221.478,-27.29750
221.860,-27.34450
222.242,-27.29250
222.624,-27.31000
223.006,-27.34300
223.388,-27.20450
223.770,-27.27300
224.152,-27.37250
224.534,-27.31250
224.915,-27.12300
225.297,-27.17350
225.679,-27.07650
226.060,-27.28800
226.442,-27.21650
226.823,-27.01450
227.205,-26.92350
227.587,-27.00300
227.968,-27.00000
228.349,-26.95450
228.731,-27.02300
229.112,-27.01650
229.493,-27.16300
229.874,-27.07450
230.256,-26.95650
230.637,-26.79350
231.018,-26.77100
231.399,-26.97450
231.780,-26.95300
232.161,-26.86000
232.542,-26.86550
232.923,-27.00450
233.304,-26.94450
233.685,-26.92100
234.065,-26.73100
234.446,-26.70350
234.827,-26.78350
235.207,-26.87350
235.588,-26.79350
235.969,-26.83350
236.349,-26.90000
236.730,-26.94350
237.110,-26.85350
237.491,-26.72350
237.871,-26.67300
238.251,-26.63000
238.632,-26.76100
239.012,-26.83250
239.392,-26.87000
239.772,-26.69000
240.153,-26.54000
240.533,-26.77550
240.913,-26.81300
241.293,-26.72300
241.673,-26.66650
242.053,-26.62450
242.433,-26.68000
242.813,-26.74350
243.192,-26.75000
243.572,-26.58350
243.952,-26.80350
244.332,-26.74350
244.711,-26.53300
245.091,-26.58250
245.471,-26.53350
245.850,-26.61250
246.230,-26.60100
246.609,-26.71450
246.989,-26.76000
247.368,-26.65300
247.747,-26.69350
248.127,-26.58350
248.506,-26.47300
248.885,-26.44300
249.264,-26.51350
249.644,-26.60650
250.023,-26.72350
250.402,-26.64350
250.781,-26.58300
251.160,-26.45300
251.539,-26.38450
251.918,-26.58650
252.297,-26.67300
252.675,-26.53450
253.054,-26.46450
253.433,-26.36000
253.812,-26.30300
254.190,-26.37300
254.569,-26.42350
254.948,-26.41800
255.326,-26.52300
255.705,-26.64450
256.083,-26.61100
256.462,-26.62300
256.840,-26.46300
257.219,-26.45300
257.597,-26.52000
257.975,-26.45300
258.353,-26.56300
258.731,-26.30450
259.110,-26.46350
259.488,-26.58350
259.866,-26.57300
260.244,-26.88350
260.622,-26.74450
261.000,-26.69300
261.378,-26.53450
261.756,-26.54050
262.134,-26.61300
262.511,-26.54100
262.889,-26.55250
263.267,-26.44000
263.645,-26.51650
264.022,-26.40650
264.400,-26.39300
264.777,-26.49300
265.155,-26.49450
265.532,-26.34000
265.910,-26.38750
266.287,-26.45100
266.665,-26.54450
267.042,-26.42350
267.419,-26.32350
267.796,-26.20300
268.174,-26.21300
268.551,-26.23350
268.928,-26.33250
269.305,-26.30250
269.682,-26.27450
270.059,-26.26250
270.436,-26.30300
270.813,-26.32800
271.190,-26.29300
