# Sodio (Na) - saggio alla fiamma, USB2000 S/N USB2G16606
# registrazione: napiudidimiopartesopra_usb2000_spettrogramma_20260922_000450
# selezione: media delle 57 righe piu intense in 585-595 nm (su 57)
# integrazione: 30 ms · rumore: 0.17 conteggi
# fondo strumentale sottratto; punte di 1-2 pixel rimosse
# cancellato K a 768 nm +-7 nm (c'era un picco da 156 conteggi)
wavelength_nm,intensity_counts
176.507,-5.30668
176.894,-4.95372
177.280,-4.26275
177.667,-3.65387
178.054,-3.04646
178.440,-2.73935
178.827,-2.63683
179.213,-2.51535
179.599,-2.44053
179.986,-2.34296
180.372,-2.35845
180.758,-2.39883
181.144,-2.43946
181.530,-2.57139
181.917,-2.66711
182.303,-2.70031
182.689,-2.76154
183.075,-2.83582
183.461,-2.85950
183.847,-2.78856
184.232,-2.74018
184.618,-2.65328
185.004,-2.69071
185.390,-2.60868
185.776,-2.61689
186.161,-2.45627
186.547,-2.36778
186.933,-2.32223
187.318,-2.26616
187.704,-2.27218
188.089,-2.21469
188.475,-2.31596
188.860,-2.24713
189.245,-2.27929
189.631,-2.27936
190.016,-2.27238
190.401,-2.26880
190.787,-2.22045
191.172,-2.10704
191.557,-2.11839
191.942,-2.03110
192.327,-1.97707
192.712,-2.03957
193.097,-2.07151
193.482,-2.09501
193.867,-2.01422
194.252,-1.96659
194.637,-1.78151
195.022,-1.78859
195.406,-1.71072
195.791,-1.66074
196.176,-1.69840
196.560,-1.54277
196.945,-1.54994
197.330,-1.48597
197.714,-1.51171
198.099,-1.47612
198.483,-1.47132
198.868,-1.44376
199.252,-1.48186
199.636,-1.42782
200.020,-1.43586
200.405,-1.39574
200.789,-1.31468
201.173,-1.30927
201.557,-1.29293
201.941,-1.22656
202.325,-1.17633
202.709,-1.16022
203.093,-1.07030
203.477,-1.05083
203.861,-1.04405
204.245,-1.05564
204.629,-0.99742
205.013,-0.99336
205.397,-0.92523
205.780,-0.86146
206.164,-0.78003
206.548,-0.72968
206.931,-0.77615
207.315,-0.70717
207.698,-0.64917
208.082,-0.59232
208.465,-0.63573
208.848,-0.60338
209.232,-0.65594
209.615,-0.74102
209.998,-0.67740
210.382,-0.62325
210.765,-0.54994
211.148,-0.61220
211.531,-0.58346
211.914,-0.87289
212.297,-0.58710
212.680,-0.58467
213.063,-0.38868
213.446,-0.27770
213.829,-0.25270
214.212,-0.26661
214.595,-0.28257
214.977,-0.32721
215.360,-0.37176
215.743,-0.33179
216.125,-0.39039
216.508,-0.29708
216.891,-0.15954
217.273,-0.16745
217.656,-0.13810
218.038,-0.02739
218.420,0.00077
218.803,-0.00929
219.185,-0.09496
219.567,-2.59761
219.950,-2.59460
220.332,-2.60884
220.714,-2.46975
221.096,-0.04927
221.478,0.12841
221.860,0.17105
222.242,0.12087
222.624,0.10848
223.006,0.14146
223.388,0.12630
223.770,0.05846
224.152,0.07232
224.534,0.15610
224.915,0.17039
225.297,0.16436
225.679,0.04283
226.060,0.13824
226.442,0.29930
226.823,0.31811
227.205,0.33208
227.587,0.36775
227.968,0.33189
228.349,0.34022
228.731,0.32638
229.112,0.33588
229.493,0.31611
229.874,0.33841
230.256,0.28006
230.637,0.28986
231.018,0.42727
231.399,0.46288
231.780,0.53635
232.161,0.55389
232.542,0.53144
232.923,0.61472
233.304,0.58634
233.685,0.53196
234.065,0.61475
234.446,0.56186
234.827,0.56699
235.207,0.54094
235.588,0.41948
235.969,0.54329
236.349,0.49337
236.730,0.54704
237.110,0.50709
237.491,0.59299
237.871,0.57662
238.251,0.50218
238.632,0.47550
239.012,0.55676
239.392,0.50403
239.772,0.46461
240.153,0.55298
240.533,0.58235
