elemento,nome,registrazione,integrazione_ms,selezione,rumore_cts,riga,altezza_cts,rapporto_segnale_rumore
Li,Litio,nightli_usb2000_spettrogramma_20260921_231929,800,"media delle 2 righe piu intense in 665-675 nm (su 14, 4 scartate per taglio nella finestra)",0.89,"Li I 670,8",3876.7,4350
Li,Litio,nightli_usb2000_spettrogramma_20260921_231929,800,"media delle 2 righe piu intense in 665-675 nm (su 14, 4 scartate per taglio nella finestra)",0.89,"Li I 610,4",5.7,6
Li,Litio,nightli_usb2000_spettrogramma_20260921_231929,800,"media delle 2 righe piu intense in 665-675 nm (su 14, 4 scartate per taglio nella finestra)",0.89,"Li I 460,3",0.9,1
Na,Sodio,napiudidimiopartesopra_usb2000_spettrogramma_20260922_000450,30,"media delle 57 righe piu intense in 585-595 nm (su 57)",0.17,"Na I D 589,0/589,6",1419.7,8403
Na,Sodio,napiudidimiopartesopra_usb2000_spettrogramma_20260922_000450,30,"media delle 57 righe piu intense in 585-595 nm (su 57)",0.17,"Na I 818,3/819,5",695.6,4117
Na,Sodio,napiudidimiopartesopra_usb2000_spettrogramma_20260922_000450,30,"media delle 57 righe piu intense in 585-595 nm (su 57)",0.17,"Na I 568,5",724.0,4285
K,Potassio,fk_usb2000_spettrogramma_20260921_162948,200,"media delle 8 righe piu intense in 760-775 nm (su 25, 6 scartate per taglio nella finestra)",0.22,"K I 766,5",2986.2,13564
K,Potassio,fk_usb2000_spettrogramma_20260921_162948,200,"media delle 8 righe piu intense in 760-775 nm (su 25, 6 scartate per taglio nella finestra)",0.22,"K I 769,9",2559.5,11626
K,Potassio,fk_usb2000_spettrogramma_20260921_162948,200,"media delle 8 righe piu intense in 760-775 nm (su 25, 6 scartate per taglio nella finestra)",0.22,"K I 404,4/404,7",1.6,7
Sr,Stronzio,fsr_usb2000_spettrogramma_20260921_161953,200,"media delle 12 righe piu intense in 595-690 nm (su 13)",0.25,"Sr I 460,7",35.3,142
Sr,Stronzio,fsr_usb2000_spettrogramma_20260921_161953,200,"media delle 12 righe piu intense in 595-690 nm (su 13)",0.25,"SrOH 605",611.8,2453
Sr,Stronzio,fsr_usb2000_spettrogramma_20260921_161953,200,"media delle 12 righe piu intense in 595-690 nm (su 13)",0.25,"SrOH 646",45.6,183
Sr,Stronzio,fsr_usb2000_spettrogramma_20260921_161953,200,"media delle 12 righe piu intense in 595-690 nm (su 13)",0.25,"SrOH 668",254.1,1019
Sr,Stronzio,fsr_usb2000_spettrogramma_20260921_161953,200,"media delle 12 righe piu intense in 595-690 nm (su 13)",0.25,"SrOH 682",442.4,1774
B,Boro,fb2_usb2000_spettrogramma_20260921_163915,200,"media delle 12 righe piu intense in 510-555 nm (su 20)",0.26,"BO2 493,6",17.9,70
B,Boro,fb2_usb2000_spettrogramma_20260921_163915,200,"media delle 12 righe piu intense in 510-555 nm (su 20)",0.26,"BO2 518,0",60.7,238
B,Boro,fb2_usb2000_spettrogramma_20260921_163915,200,"media delle 12 righe piu intense in 510-555 nm (su 20)",0.26,"BO2 548,0",95.7,375
B,Boro,fb2_usb2000_spettrogramma_20260921_163915,200,"media delle 12 righe piu intense in 510-555 nm (su 20)",0.26,"BO2 580,5",23.9,94
B,Boro,fb2_usb2000_spettrogramma_20260921_163915,200,"media delle 12 righe piu intense in 510-555 nm (su 20)",0.26,"BO2 620",6.2,24
Cu,Rame,fcu2_usb2000_spettrogramma_20260921_164106,200,"media delle 8 righe piu intense in 500-560 nm (su 26)",0.26,"Cu I 510,6",3.3,13
Cu,Rame,fcu2_usb2000_spettrogramma_20260921_164106,200,"media delle 8 righe piu intense in 500-560 nm (su 26)",0.26,"Cu I 515,3",0.0,0
Cu,Rame,fcu2_usb2000_spettrogramma_20260921_164106,200,"media delle 8 righe piu intense in 500-560 nm (su 26)",0.26,"Cu I 521,8",5.5,21
Cu,Rame,fcu2_usb2000_spettrogramma_20260921_164106,200,"media delle 8 righe piu intense in 500-560 nm (su 26)",0.26,"Cu I 578,2",0.6,2
Cu,Rame,fcu2_usb2000_spettrogramma_20260921_164106,200,"media delle 8 righe piu intense in 500-560 nm (su 26)",0.26,"CuOH 535",0.1,0
Cu,Rame,fcu2_usb2000_spettrogramma_20260921_164106,200,"media delle 8 righe piu intense in 500-560 nm (su 26)",0.26,"CuOH 555",0.0,0
Ca,Calcio,nightca_usb2000_spettrogramma_20260921_231521,800,"media delle 2 righe piu intense in 615-630 nm (su 14)",0.93,"Ca I 422,7",6.5,7
Ca,Calcio,nightca_usb2000_spettrogramma_20260921_231521,800,"media delle 2 righe piu intense in 615-630 nm (su 14)",0.93,"CaOH 554",35.2,38
Ca,Calcio,nightca_usb2000_spettrogramma_20260921_231521,800,"media delle 2 righe piu intense in 615-630 nm (su 14)",0.93,"CaOH 622",38.2,41
Ba,Bario,ba3_usb2000_spettrogramma_20260921_183643,600,"media delle 2 righe piu intense in 548-557 nm (su 7)",1.80,"Ba I 553,5",161.0,90
Ba,Bario,ba3_usb2000_spettrogramma_20260921_183643,600,"media delle 2 righe piu intense in 548-557 nm (su 7)",1.80,"BaOH 487",48.8,27
Ba,Bario,ba3_usb2000_spettrogramma_20260921_183643,600,"media delle 2 righe piu intense in 548-557 nm (su 7)",1.80,"BaOH 512",86.8,48
Ba,Bario,ba3_usb2000_spettrogramma_20260921_183643,600,"media delle 2 righe piu intense in 548-557 nm (su 7)",1.80,"BaOH 535",51.0,28
Ba,Bario,ba3_usb2000_spettrogramma_20260921_183643,600,"media delle 2 righe piu intense in 548-557 nm (su 7)",1.80,"BaO 604",61.7,34
Fe,Ferro,ffe_usb2000_spettrogramma_20260921_162437,200,"riga piu intensa in 365-445 nm (7 righe)",0.40,"Fe I 372,0",2.4,6
